"training","earnings","age","education","prior_earnings","employment_history","urban","skill","ps","tau_true"
1,99.6406708680486,55,14,61,39,0,-0.378445643076018,0.98,2.907289434852
1,108.684929794892,36,15,76.2,19,1,-0.0140731504273001,0.714601651261876,5.07065978780913
0,77.6156501121417,19,11,31,0,1,1.37673522639145,0.673496957554559,5.69961735197886
1,88.9764020448487,37,10,14.6,21,1,0.644553381332008,0.579802414094627,6.0312603691244
0,62.9928370172639,33,13,18.4,11,1,-1.4792149233896,0.0352659561565732,5.5112914734903
0,71.1238374780509,39,10,36.7,21,1,0.0773759178292812,0.4777790593301,5.58334143206928
1,108.306329313514,38,13,39.8,18,1,0.552931879680067,0.666992092413032,5.04099568988439
1,107.997375461452,43,18,181.7,21,1,-0.292231786708635,0.814211400012355,4.92933051564472
1,107.406763155564,51,13,104.7,32,0,0.625869629063463,0.98,3.80414134546302
1,102.321697227601,29,12,73.3,9,1,0.966637560329907,0.493632979492931,5.15864487834106
1,115.603345353132,31,15,101.8,8,1,0.271230088687469,0.544078859868731,5.09929290310849
1,142.328948195685,45,17,168.3,26,0,1.17581340201271,0.98,4.41075328034878
1,95.8512235622873,35,15,57.9,20,1,-0.690507755751845,0.389682531162936,5.09961365145159
1,113.589230969632,49,10,167.2,33,1,1.84446777404215,0.98,4.28438691346617
0,52.8078263483394,32,14,14,13,1,-2.10669599113175,0.02,5.55026647752179
0,117.468385659512,36,14,56.7,16,0,1.00026449887441,0.674915915233356,5.08265978780913
0,87.3764599658334,23,12,55.7,4,0,0.62233461840981,0.249892963422987,5.45220396668599
0,109.27734780119,32,8,34.5,11,1,2.38590140905464,0.193482821474898,5.52626647752178
1,84.2969488950935,20,12,55.1,2,1,0.319164571971585,0.409484586556897,5.41147975370484
1,102.554979065321,53,12,26.4,30,1,-0.775090018075303,0.808862128447308,4.1913949599551
0,76.0523542872454,34,10,30.9,17,1,0.603544348090841,0.321637993636888,5.7264285021965
1,90.772031075996,43,13,13,28,1,-1.13244781155288,0.79202522967348,5.10533051564472
0,84.84688644411,42,15,31.5,21,0,-0.869862735972509,0.251504434588453,4.93946628439086
1,57.3602437113421,36,9,4.6,20,0,-0.761923181418086,0.115818362922042,6.06665978780913
0,77.0151931471456,18,12,58.1,5,1,0.344169759722251,0.409300221162135,5.34522198857073
1,123.943778187018,47,16,69.6,30,0,-0.230850076364489,0.935049409660014,4.15665216851173
1,120.738107686959,32,17,88.1,10,1,0.171308161235095,0.669075266254834,5.11426647752179
0,83.0390271135539,28,15,17.8,8,1,-1.14204803413331,0.0637283433248355,5.56025018525816
1,85.8981929089894,26,10,21.5,11,1,1.02237594817371,0.225812476081474,6.33272171998271
0,82.1263364764643,47,13,25.9,25,1,-1.66272988872377,0.232850399109916,4.79665216851173
1,79.8870040130843,46,14,207.4,31,0,0.661862294833705,0.98,4.16057145488703
0,81.459020399334,33,14,20.3,12,1,-0.904991113333461,0.093167549537176,5.5192914734903
1,120.738097094053,32,13,113.3,10,1,1.82242074089396,0.853104365096372,4.91426647752179
0,98.7058451121111,34,12,21.1,19,1,0.667608915586519,0.630926517530458,5.5344285021965
1,150.49973253836,31,15,81.7,19,1,1.22555077618136,0.95772873038125,5.07529290310849
1,128.725117503032,48,12,37.3,32,0,1.18005615652008,0.98,4.00217883764127
0,80.3846736265724,32,13,54.9,16,0,-0.379728854550791,0.137767509910322,5.18626647752179
1,59.6198018768008,31,16,307.2,10,0,2.5,0.98,4.93129290310849
1,91.148751931836,39,12,31.1,19,1,-0.328543567376914,0.367861378929758,5.01534143206928
1,124.177020882762,35,14,59.5,20,1,0.773963067638077,0.856507694671997,5.09961365145159
1,71.666366971601,34,12,22,16,1,-0.76860317798995,0.135520069362805,5.5224285021965
0,99.4751548877345,40,16,72.8,22,0,-0.765598931030495,0.37161555450278,4.94567934733469
1,116.504128239083,28,13,47.1,15,0,1.04112438034396,0.519259140541367,5.35625018525816
1,104.202368791061,41,13,163.7,21,1,1.65280924302675,0.967744870772877,4.75130985288139
1,119.679040224361,51,14,150.4,30,0,1.13761423712548,0.98,3.93214134546302
1,95.340924027471,51,14,23.3,31,1,-0.914434156144698,0.878397706298676,4.26814134546302
1,146.797477207454,40,15,73.8,23,1,0.992594339713073,0.979145665868364,4.92567934733469
0,70.8589822102373,22,10,31.7,0,0,0.886923348149531,0.218862233679436,5.87091158717142
1,64.6476557032605,18,11,28.6,0,1,0.0149257105530406,0.34676163385595,6.30522198857073
0,82.098117889654,30,12,31.1,15,1,-0.0543846797250116,0.233927879661299,5.2541868505573
0,61.4825393259694,38,14,21.4,14,0,-1.81464569106462,0.02,5.48899568988439
0,81.3806570934916,31,9,28.3,14,1,1.17048109734237,0.209636890383003,6.19529290310849
0,75.3434016903693,34,16,29.2,16,0,-2.20489177930517,0.02,5.5224285021965
0,40.2647513444004,24,9,13.9,2,0,-0.374929294315755,0.0434828892855157,6.33837417762586
1,52.8817690355736,26,11,9.4,6,1,-0.840454842362488,0.05899992835501,6.15272171998271
1,103.21798003871,40,15,87,27,0,-0.22235077589388,0.881003585141996,4.84567934733469
1,115.503900679258,44,15,178.2,23,1,0.97230205943842,0.97779776942144,4.84804962660221
0,78.7698954780142,35,13,11.6,17,0,-1.51278335941653,0.0378905312093291,5.49961365145159
0,54.4112844625937,39,13,26.9,18,0,-1.31991813569279,0.0664551345101109,5.43134143206928
0,45.9546282645571,24,10,9.3,6,1,-1.37368417707516,0.0331859068739979,6.21437417762586
1,85.7598752832197,18,13,45.3,0,0,0.552942612642981,0.573372938111928,5.30522198857073
0,47.5180761967733,40,9,6.5,22,0,-1.07346232026546,0.180434115617876,5.94567934733469
0,85.5888190785322,38,12,31.4,18,0,0.172614226756666,0.309634645446396,5.04099568988439
0,58.1657868426729,33,13,22.6,15,0,-0.855459201383644,0.0657128966159297,5.5432914734903
1,137.249313911388,40,17,167.4,28,0,0.96448630081135,0.98,4.82567934733469
0,77.1793537839345,35,14,42,21,0,-0.433454360788328,0.35766039060012,5.09961365145159
1,94.1822598265063,42,15,18.2,29,1,-1.71815389581061,0.676631236838077,5.11546628439086
0,77.5411769432066,31,14,14.1,18,1,-1.97940091131058,0.0388291170458688,5.65929290310849
0,64.6070141182668,31,11,24.2,14,1,-0.772075391940663,0.0845265771605944,6.19529290310849
1,92.2378437525538,26,12,37.1,0,1,0.739257578924619,0.505202818803221,5.23672171998271
0,69.4245374370677,29,14,15,10,1,-0.78988244512749,0.098557893425272,5.58264487834106
1,93.2032084885271,38,10,21,22,1,0.782567544835157,0.682908719133443,5.99299568988439
0,77.2297206314649,28,16,18.6,9,1,-1.87582642207453,0.02,5.58825018525816
0,71.8784400549284,40,13,8.6,27,1,-2.5,0.25557533721901,5.24567934733469
1,95.5708349980156,18,12,40.1,0,0,0.94306046520609,0.572421061074437,5.30522198857073
0,69.7792068420566,33,12,5.7,22,1,-1.60992234305411,0.163833871899076,5.5992914734903
0,61.7181201643908,18,13,20.7,0,1,-0.357882399625008,0.407316464758525,5.70522198857073
1,106.215200612269,35,13,69.2,12,1,0.955722658190592,0.667057563613099,5.09961365145159
1,90.6528967751683,46,11,14.7,33,0,-0.0987961523472646,0.969106470415527,5.07257145488703
1,66.5680045718518,41,8,8.8,25,1,-1.06166333638596,0.517950007082663,5.85530985288139
0,66.929796966742,30,13,26.3,7,0,-0.281965808498475,0.0878991884793915,5.4941868505573
1,110.880893375576,41,18,240.4,30,1,0.904537217798941,0.98,4.73530985288139
1,60.7289807915007,37,11,16.6,20,1,-0.899917776314273,0.229162428730306,6.0392603691244
0,96.5385100847984,43,15,20.4,25,0,-1.08835429524051,0.42605841249336,5.20133051564472
0,103.721162409128,34,12,27.3,18,0,1.17767153098385,0.579878087606888,5.5304285021965
1,96.8004304121937,28,12,38.8,15,1,0.832951770012663,0.485633102196282,5.35625018525816
1,151.710439077341,40,13,95.5,28,1,1.70044100309887,0.98,4.62567934733469
1,105.444305294406,55,11,49.2,34,0,0.220560876675141,0.969999085087416,3.907289434852
0,96.1817586058093,39,16,49.2,22,1,-0.929388229685218,0.448345665438873,4.96734143206928
0,102.587199561421,41,14,40.3,32,0,-0.789382257775077,0.95385517315294,4.68730985288139
0,67.1572543084221,29,12,33.5,8,0,-0.188671719321621,0.075938051793247,5.13464487834106
1,79.8804542389995,39,12,40.1,23,0,-0.464897243910126,0.419672687408307,4.95134143206928
0,64.9329380216722,32,10,18.8,19,0,0.375492267352742,0.216631151550757,6.22226647752179
0,76.0431529669284,39,12,24.5,16,0,0.401856902488362,0.302329678621071,5.46334143206928
1,87.8066889727775,26,15,182.1,7,1,0.74547122080356,0.766507014006941,5.18872171998271
1,125.65813099548,51,13,41.2,41,0,0.606578364576778,0.98,3.22814134546302
1,112.741731645938,45,12,41.8,30,1,0.0673176105135902,0.957396353854245,4.25075328034878
0,36.0903484676924,29,9,6.3,12,0,-1.06715761737186,0.0211513494447333,6.23064487834106
0,91.2185916678017,25,12,44.3,9,1,0.585835592177327,0.318035025863125,5.30227443832449
1,115.759488990083,52,17,88.5,32,0,-0.491402821588362,0.930934231152372,3.72855178987957
1,88.9660328810966,29,11,19.5,14,1,0.046351567634077,0.17902074175848,6.27864487834106
1,-124.343229567589,41,17,473.2,20,0,2.5,0.98,4.77530985288139
1,114.733045421176,43,15,55.7,31,1,-0.759869672242507,0.966065383685768,4.60933051564472
0,55.5241394674002,38,13,5,17,1,-2.32256105144522,0.0249685475173082,5.45299568988439
0,54.8555217812417,34,12,21.7,17,0,-1.10579256255972,0.0595179340090039,5.5264285021965
0,71.9287223302574,18,10,29.5,1,1,1.05692969162713,0.439078205735482,6.37322198857073
0,104.524195957141,19,17,67.9,0,0,-0.110391800507953,0.664086550416592,5.29961735197886
1,110.826730068346,42,16,216.5,23,0,1.46908957916617,0.98,4.68346628439086
0,73.290474046681,39,12,16.4,21,1,-0.538766402191546,0.418804056996223,5.38334143206928
1,126.066243631076,40,16,124.4,26,0,0.220222983806701,0.938563796761353,4.86567934733469
1,72.7275262483374,27,9,31.2,5,1,0.680195303938528,0.117410478913511,5.69448110212308
0,93.4081856956305,41,14,20.7,25,1,-0.991249078280938,0.617514352778946,5.25530985288139
0,48.8001371964442,25,11,12.9,8,0,-1.47832391237522,0.02,6.26227443832449
1,80.5476487989033,43,10,23.8,26,0,-0.177974336225358,0.672397542948237,5.76933051564472
0,98.3047280679154,44,12,71.2,26,1,0.29704825714267,0.937907288692837,4.74004962660221
1,109.195293709061,33,13,36.9,18,1,0.201402255886331,0.509488993704582,5.1672914734903
1,145.385593344974,50,13,38.5,32,1,0.88365540160628,0.98,3.87457945846835
1,110.744414930331,37,12,90.1,17,0,1.55861343227617,0.673950614001161,4.8632603691244
0,87.6057113331326,43,11,24.2,25,1,0.0747118708972857,0.816102835480995,5.80133051564472
1,117.453017010633,30,13,105,15,1,1.29766713707932,0.807042725308421,5.0541868505573
0,86.2620358467471,47,12,19.2,28,1,-0.771029619310967,0.759273723183666,4.65265216851173
0,113.805946412567,29,16,104.3,11,0,0.552250152010862,0.556743643197379,5.20664487834106
0,82.4456925266652,39,14,26.2,18,1,-0.659407964528767,0.289266933602626,5.43134143206928
0,82.913258934992,26,12,45.4,6,1,0.694279368739763,0.34611500725653,5.15272171998271
1,140.191226860026,37,14,120.9,20,1,1.54064405322767,0.9688787792824,4.8392603691244
0,81.9247502454493,18,11,31.3,0,0,0.759250575825829,0.382971994420802,5.90522198857073
1,80.4305621738657,37,10,16.1,23,1,0.147570157682693,0.606990041974736,6.0152603691244
0,70.9910009177331,30,12,27.3,13,1,-0.395290721483994,0.134927260233397,5.6141868505573
1,100.410298294407,39,11,31.1,17,1,1.18628270627731,0.623217056729655,5.64734143206928
1,113.081684758702,38,15,77.5,20,0,0.204336588086643,0.64123740113044,5.01699568988439
1,127.880923692746,52,13,57.1,38,0,0.223331633041835,0.98,3.32055178987957
1,59.0710038424172,42,8,18.9,22,0,-0.352392567748795,0.252567890909877,5.91146628439086
1,91.4583303145764,27,14,104.5,6,0,0.528396260424973,0.341126809605793,5.12648110212308
0,95.8956622283565,38,13,51.1,22,0,0.120236023838623,0.593198314935623,4.99299568988439
0,87.5591266351854,32,15,55.9,12,1,-0.594697985108784,0.169799079550007,5.13826647752179
1,124.641239959568,41,13,107.9,21,1,1.25209587071213,0.943760709848501,4.75130985288139
0,89.4637962885119,33,15,52.2,6,1,-0.11585782764275,0.303388340531789,5.0712914734903
1,119.123845545765,22,17,150.6,2,0,0.80189136030527,0.879770224129673,5.37491158717142
0,70.9886765423276,32,12,34.1,12,1,-0.112603833895163,0.17374490347555,5.13826647752179
0,50.0426186786355,41,10,9.2,22,0,-1.07264067297074,0.194558357408017,5.92730985288139
1,132.076474856286,23,16,70.2,10,1,0.662890676724199,0.85466161907448,5.44020396668599
0,87.9570577014953,26,12,59.9,2,1,0.809958281737288,0.457692964759154,5.30872171998271
1,96.1465160038844,47,16,199.9,30,1,-0.0755123195917805,0.98,4.15665216851173
0,99.886424880802,35,15,44.9,13,1,0.066746309554043,0.434634086623492,5.09961365145159
1,120.56901944894,46,15,226.1,27,0,2.16964699862591,0.98,4.13657145488703
0,117.61347922468,44,14,154.8,26,1,0.784796536569635,0.98,4.74004962660221
0,51.1338845160718,30,10,14.2,11,1,-0.350119249570912,0.0782895603020203,6.1741868505573
0,74.238147789466,31,14,42.5,16,0,-0.915566891013842,0.0771734194507027,5.22729290310849
0,52.7535668053,21,11,15.4,5,1,-0.478018833297425,0.115475851157151,6.2616269362685
0,70.8449177243894,36,10,6.8,22,1,-0.219226093200524,0.440968776349375,6.05865978780913
1,130.41274396096,37,14,81.3,19,1,1.09239209305609,0.922449601403286,5.0472603691244
1,113.045129492571,34,13,122,18,0,1.65554383473054,0.82069955628774,4.9304285021965
0,52.5390723975063,24,12,33.1,2,1,-0.00484859146726288,0.24817426362398,5.33837417762586
0,87.6786285510436,42,13,43.2,23,1,-0.33010468455503,0.678668797451451,4.88346628439086
1,93.543897076365,39,13,27.1,20,0,-0.360316560610825,0.307668988623522,5.39934143206928
1,111.721355492902,20,13,58.3,0,1,1.51224102870203,0.889506608787336,5.09147975370484
1,121.646813659759,42,13,77.4,25,1,0.811701076659981,0.967493832434926,4.82746628439086
0,47.8793061494743,38,10,8.4,15,1,-1.3639411209682,0.0669391587727114,6.07699568988439
0,105.255989286268,41,13,59.2,23,0,0.569113888392172,0.800581570502665,4.90330985288139
0,53.6651027082514,18,9,16.1,1,1,0.143210065613108,0.183895693747007,6.37322198857073
0,81.5144046472386,19,14,39.3,3,1,-0.591306686617845,0.278237740972071,5.49161735197886
0,41.112859972695,18,11,10.6,2,1,-1.03472832777468,0.114008970345558,6.44122198857073
0,97.6364118097379,27,18,44.7,15,1,-1.5547377799624,0.05984969402828,5.41448110212308
0,74.9739392980905,33,13,60.6,14,0,0.166651739706616,0.213756719881312,5.1352914734903
1,102.962747846563,33,12,117.5,14,1,1.46174277804473,0.7331769644293,4.9352914734903
0,81.5718406745985,29,14,48.5,15,0,-0.28468201493512,0.169638563798717,5.30264487834106
1,155.256909221097,46,18,111.2,24,1,0.238224961118285,0.947680881241627,4.46857145488703
0,59.2390992996317,25,13,21.2,5,1,-1.78878139055914,0.0248772844034795,5.54227443832449
1,105.818848247526,34,13,70.3,13,1,1.13944031157342,0.735506777974555,5.1104285021965
0,37.652327125561,30,8,11.6,11,0,-0.721785163870872,0.0214784028002381,6.1741868505573
1,108.025459320456,39,13,91.8,18,0,1.08730167885721,0.700148847522191,5.03134143206928
0,72.780828515945,18,12,28.4,0,0,0.0677825015727919,0.306411579125317,5.70522198857073
0,55.3507750239156,32,9,15,10,1,0.0477710544788709,0.082228388993193,6.11426647752179
0,89.9209989965276,35,15,64.6,14,1,-0.245029917112653,0.408695160661158,5.09961365145159
1,66.1141641883587,39,10,10.4,26,0,-0.617879626508196,0.546199758018882,5.90334143206928
1,91.7210470155347,43,13,24.3,26,1,-0.655888073015242,0.78043242136941,5.16933051564472
0,61.7712668730605,37,11,10,20,1,-1.09975158886556,0.193171418001638,6.0392603691244
1,116.675531629117,31,14,54.6,15,1,0.944692247646914,0.742123908890671,5.21129290310849
1,92.2133131931095,49,12,35,28,1,-0.778657295096001,0.735128068549843,4.16438691346617
0,85.5225949312918,22,13,26,4,1,0.421140878096099,0.455149425328289,5.87891158717142
1,134.396353244085,41,16,67.5,20,1,0.1539395169261,0.85724538668609,4.97530985288139
1,85.9159173197892,55,10,33.9,39,0,-0.232878710026072,0.98,3.507289434852
1,134.194394121018,38,17,91.3,24,1,-0.114523436102554,0.93125641444528,4.96899568988439
1,52.819110537753,42,16,314.1,23,1,1.89586879171432,0.98,4.68346628439086
1,83.3977604544892,33,10,29.7,21,0,0.63849862082621,0.370651245640712,6.1912914734903
1,108.705849922143,36,17,217.7,20,0,1.10519299533949,0.958502683520636,5.06665978780913
1,98.9143918516898,33,14,67.5,15,1,0.0201583480823552,0.478892359800496,5.1432914734903
1,60.612305481016,39,8,8,23,1,-0.391252632396174,0.420533897133037,5.95134143206928
0,110.79363242478,48,10,24.1,27,1,0.943282828126227,0.894661034556839,5.26217883764127
1,40.1440415245108,40,17,295.3,18,1,1.12402705439424,0.977023332930464,5.02567934733469
1,99.7095811517536,38,12,71.9,22,0,0.695563847632727,0.694358369358372,4.99299568988439
0,64.0256273533387,28,10,17.5,6,0,-0.182613067925219,0.0457860952232966,6.10425018525816
1,79.6274428989423,31,12,20.8,17,1,-1.03124082423534,0.109857382209699,5.64329290310849
1,56.8582804227941,18,9,10.3,0,1,-0.647224282301294,0.129357516702334,6.30522198857073
1,140.455309573237,31,16,102.9,14,0,1.10546014526949,0.827063925080386,5.19529290310849
0,98.7820654208154,24,14,89.6,6,1,0.71951375086573,0.693451917966351,5.21437417762586
0,66.6912330969736,35,13,11.6,15,1,-1.48670661700385,0.0538287576947476,5.49961365145159
1,116.892945560613,55,12,46.1,40,1,-0.0521166277866246,0.98,2.827289434852
1,7.52020904845961,37,15,331.5,19,1,1.92981579246551,0.98,4.8472603691244
0,100.414152736236,23,13,54.2,9,0,0.660020806371581,0.32802964358459,5.39220396668599
0,66.6312980842821,37,14,26.9,17,0,-1.31432124532143,0.0544306197109016,5.4632603691244
1,101.029555127324,43,12,41.6,24,0,0.407001011971658,0.764004404598729,4.83333051564472
0,81.02910423262,37,12,32.2,14,1,-0.223827662282328,0.208886443689603,5.0872603691244
1,113.357602065726,42,11,46.4,19,1,1.12863539973771,0.718223715404236,5.59546628439086
0,93.1340388995659,28,12,39.8,7,1,0.673557977179188,0.323139250228869,5.13225018525816
1,106.085305680036,37,17,221.7,19,1,0.943980280068542,0.972425121163977,5.0472603691244
1,98.2134385765199,44,12,57.9,25,1,-0.0557229091814746,0.827523857577369,4.77604962660221
0,90.4608182721279,33,13,31.8,15,0,-0.191785323757285,0.155491798830041,5.1432914734903
1,77.7089895963259,35,18,241.5,21,1,-0.0480320610441731,0.894928209592017,5.09961365145159
1,114.04907147613,42,14,70.7,27,1,-0.0219704766243288,0.958397174806399,4.77146628439086
0,80.6115824032553,23,17,148.3,1,1,-0.0604373447325543,0.755328830681672,5.30820396668599
1,117.383219946474,50,15,61.1,36,0,-0.117379256008874,0.98,3.63457945846835
1,90.8912051991719,37,16,166.3,20,0,0.266530403316352,0.730059623558108,5.0392603691244
0,62.0386840037686,31,11,19.4,12,1,-0.782732906006875,0.069530682834194,6.16329290310849
1,119.2654514196,45,13,25.3,30,1,0.429503556302376,0.97949674938691,4.65075328034878
0,125.776122861408,28,17,36.6,16,1,-0.365268502964564,0.472513101150693,5.38425018525816
1,117.934466025099,46,12,52.6,26,0,1.10437209672462,0.895830160858313,4.38057145488703
0,81.3300831703779,29,14,112.8,10,0,0.549168463915943,0.337102081840061,5.18264487834106
0,90.1209011969244,28,15,59.5,7,1,-0.390580959596128,0.212133800692041,5.13225018525816
0,122.695924732653,27,14,77.6,11,1,1.11291558662207,0.793546690155651,5.28648110212308
1,114.221216244638,33,12,42.5,17,0,1.08675429978221,0.496454069769764,5.1592914734903
0,71.6082242100683,43,11,16.5,29,0,-0.548342083560483,0.843590357677373,5.67333051564472
0,111.282171116491,32,14,63,13,0,0.498273659540656,0.364434054273182,5.15026647752179
1,106.450483236945,45,13,102.3,31,0,0.637553605023712,0.98,4.21075328034878
0,62.0364765670591,32,12,16,17,1,-1.17061761845122,0.0953955191918662,5.59826647752179
0,74.6160489436888,40,11,34.6,20,0,-0.450878132514967,0.222259770596822,5.58567934733469
1,121.681267709339,57,14,80.9,38,1,-0.15125960170065,0.98,2.7348603799531
0,69.4597371167443,21,11,24.2,5,1,0.521030697648383,0.278144397158684,6.2616269362685
0,82.3705903020021,40,9,35.3,24,1,0.322398677978616,0.676330287709296,5.50567934733469
1,79.2882168481204,44,11,15.5,24,1,-1.32805499658643,0.412582842325572,5.81204962660221
0,90.3096741543739,23,14,51.5,3,1,-0.0101802256086806,0.392352378400212,5.40420396668599
0,57.6176386807662,20,13,10.6,0,0,-1.08195788287448,0.0890023781940263,5.69147975370484
1,85.9241221428447,53,10,9.8,36,0,-0.875264712022383,0.974913264180715,4.3593949599551
1,142.694489090699,38,18,130.8,20,1,0.282120727199637,0.935064018803026,5.01699568988439
0,80.4742769823303,41,8,11.6,23,1,0.317698787299555,0.541775059784582,5.90330985288139
1,-182.451265912673,46,15,502.1,30,1,2.5,0.98,4.00457145488703
0,83.5557788177756,39,12,11.1,21,1,-0.647031511982585,0.385842870598037,5.38334143206928
0,92.6528089493499,39,15,65.4,17,1,-0.653545044708137,0.356056665758309,5.04734143206928
0,75.1809077122172,32,12,20.9,16,1,-0.364822069459681,0.198007898242686,5.58626647752179
0,89.1290568559782,43,16,23.5,28,0,-1.79311669532731,0.361927593515882,5.10533051564472
1,97.5718313864308,48,15,39.6,29,1,-1.48897975309625,0.591135250161169,4.15817883764127
0,75.5979473794225,36,13,22.9,12,1,-0.200979131006394,0.213938320089083,5.49865978780913
1,109.9802914405,43,12,57.7,26,1,1.07676362719512,0.966207064511692,4.76933051564472
1,99.301885039382,36,11,56.3,19,1,1.17517159281822,0.681319310440059,5.67065978780913
0,64.3914531952137,44,12,12.2,24,1,-1.6784714591197,0.306336568145098,5.21204962660221
0,63.6212894598956,35,10,28.2,12,0,-0.20101157412296,0.0616990886774481,6.09961365145159
1,99.2625215738045,51,12,42.3,31,1,-0.122911263662194,0.950822840602654,3.86814134546302
1,110.471581295977,26,13,111.4,9,0,1.40497732832717,0.54611099391819,5.06072171998271
1,99.4694182704379,30,14,95,12,1,0.339415103692251,0.522568440000918,5.1941868505573
0,82.6334232413198,31,14,17.9,12,0,-0.144139602321552,0.154284027506641,5.56329290310849
0,64.4595387072705,30,11,21.3,18,0,-0.50811612965577,0.10673806628749,6.3141868505573
1,105.83999515228,22,15,59.6,2,1,0.71466137239492,0.809653673726189,5.37491158717142
1,105.686328137117,37,16,54.6,19,1,-0.66386928475174,0.390342140508588,5.0472603691244
1,114.415550493322,35,13,71.2,20,0,1.01270768429966,0.742219202878961,5.09961365145159
