"scholarship","completed","gpa","parental_income","first_generation","sat_score","distance_to_college","financial_need","ps","tau_true"
0,0,2.96517621174347,89.5,0,1034,0,35,0.429511406961604,0.04
1,1,3.22934333267885,65,1,1089,37.8,71,0.812301603875466,0.4
1,1,3.04176492748781,181,1,1386,42.1,48,0.599770418920011,0.34
1,1,3.28500959406269,57.6,0,945,32.5,70,0.710268617853726,0.04
0,1,2.3185062816584,222.6,1,820,0,53,0.717185151484463,0.18
1,1,2.65556418497015,101.9,0,1206,20.2,62,0.707776109678498,0.08
1,1,2.48493006068242,261.1,0,1312,16.4,3,0.167965564407789,0.14
1,0,2.28833664191104,61.1,1,1138,37.5,70,0.869657391945616,0.24
0,0,3.16921233816188,169.6,0,1238,40.6,22,0.22772237956281,0.08
0,1,3.39862111171715,64.3,0,1050,52.9,39,0.377630119702507,0.04
0,1,3.06784199967198,40.8,0,1199,55.5,57,0.63483734339887,0.08
1,0,2.74551869496167,65.2,0,1108,19.4,26,0.376989552874471,0.04
1,1,2.52772863701051,98.5,1,1352,39.1,86,0.912126739968184,0.5
0,1,3.19503231519717,157,0,1167,30.7,41,0.394574300508771,0.08
0,0,2.99272608944054,301.7,0,895,0,10,0.158182053310028,-0.02
1,1,2.86156617738534,71.5,0,1336,34.7,64,0.714645503372077,0.14
0,1,3.1672871074953,23.2,0,1120,54.8,65,0.722058069106862,0.04
0,1,3.04243283766128,250.1,0,1184,41.7,27,0.253873998211849,0.08
1,1,3.05220764660657,51.1,1,1101,16.1,74,0.862117086489909,0.4
0,0,3.57571747583695,62.6,0,1002,11.9,60,0.603187356354142,0.04
1,1,3.14903950876494,90.8,0,1292,21.1,16,0.235537439300758,0.08
0,1,2.62177462815488,81.4,0,1401,22.3,25,0.383412226206639,0.14
0,1,3.50672513157777,113.1,0,1177,29,36,0.332160432359724,0.08
1,1,2.57752732353085,73.1,0,961,37.4,53,0.627740021003672,0.04
0,1,3.82222573610052,121.3,0,1235,0,35,0.312321628740594,-0.02
1,0,2.02068966238175,131.7,0,880,0,28,0.452631287834608,-0.02
1,0,2.47786269588648,33.3,0,1122,33.3,54,0.709161430324434,0.04
0,1,2.5752876855739,47.3,0,915,14.8,38,0.53283789807538,0.04
1,1,2.41498483239193,96.9,1,1233,29.7,65,0.827644155474186,0.28
0,1,2.84940241765261,362.6,0,1173,40.6,0,0.104008662953249,0.08
0,1,3.7965675470083,152.1,0,1231,67.3,37,0.258230162011803,-0.02
1,1,3.76140904651657,77.3,1,1070,58.6,80,0.807032851977945,0.36
1,1,2.89907087365199,133.4,0,996,12.7,27,0.322217708845687,0.04
0,0,2.46692913496403,88.1,0,888,44.6,56,0.646071751226707,-0.02
0,1,2.66390666318097,107.9,0,1069,36.2,31,0.382134283305441,0.04
1,1,2.16098388410848,76.6,1,1243,13.4,48,0.759088494440499,0.28
1,0,2.6870394126442,31.3,0,944,0,67,0.80457059504916,0.04
0,1,3.07653132392638,152,0,1201,24,16,0.211490421313911,0.08
1,1,2.78761145411496,170,0,1093,13.1,14,0.223177910362634,0.04
0,1,3.38913993675052,28,0,1148,76.8,56,0.582297055750161,0.04
1,1,2.66843316895841,150.9,0,959,23.3,67,0.70952732157759,0.04
0,0,2.47426027975779,205.4,1,1155,84.6,32,0.438133450233448,0.34
1,1,1.91727083277751,105.5,0,1105,9.6,32,0.525585245418412,0.04
1,1,2.9020254362804,68.8,0,1234,12.4,37,0.474783533711944,0.08
1,1,3.89430023094668,186.9,0,1090,17.6,16,0.139091061283471,-0.06
1,1,2.86368782396562,72.3,0,1233,42.8,67,0.72560253327668,0.08
1,1,2.63462086775599,88.5,1,1232,39.7,62,0.79028785116602,0.28
1,1,3.31226855399811,115.8,0,1098,63.8,47,0.418022296606932,0.04
0,1,2.94083235506975,147,0,1058,57.2,47,0.456644842672575,0.04
0,1,3.02003626224184,125.9,0,1272,11.5,33,0.382306020069487,0.08
1,1,2.74116072737107,71.5,0,1122,55.8,71,0.753605917987932,0.2
1,0,2.5630147762963,141.6,0,1344,1,50,0.618486632831658,0.14
1,0,3.6853950617428,45.9,0,862,35.3,57,0.546308843048197,-0.12
1,1,2.77212142754183,126.7,0,1230,12.6,47,0.549705721311183,0.08
1,1,3.25017645244102,25.2,1,1019,46.2,61,0.778935620966037,0.24
0,0,2.14521082864055,36.6,1,1239,43.8,73,0.90231536221513,0.44
0,0,3.54416491817926,168.5,0,933,57.6,25,0.18897570870566,0.04
1,0,2.90445144853965,70.6,0,1093,12.1,26,0.358163291932732,0.04
0,1,3.77118105398694,95.1,1,1209,20.5,49,0.582072222250319,0.18
1,1,3.20141852450895,66.6,0,803,36.3,50,0.512607221290524,-0.02
0,0,2.46611093342707,178.5,0,1039,43.1,10,0.199487579562709,0.04
1,1,3.43916751175547,49.5,1,1051,34,85,0.88169589492807,0.4
1,0,3.56007194513921,103.4,0,1123,39.8,60,0.548865059659415,0.04
1,1,1.89107189026134,68,0,1265,33.1,58,0.771177264482301,0.08
1,1,2.85052833993273,47.2,1,1005,34.7,74,0.863388207691892,0.4
0,0,2.74306024487256,64.5,0,1213,6.4,29,0.426886116584083,0.08
1,1,3.58361883880579,56.7,1,1022,13.7,80,0.856368174649156,0.4
0,1,3.21846883174713,163,1,1137,54.3,41,0.488673700245526,0.3
1,1,2.96162630304681,41.6,0,1269,27,59,0.696151130946358,0.08
0,1,3.20281588576023,153.5,0,1264,87.9,35,0.290375079591229,0.08
1,1,2.55431845941538,71.8,0,1182,46.5,48,0.587942046618702,0.08
1,1,2.82856879139842,105.5,1,1111,16.1,78,0.869937025505446,0.4
0,1,3.69019915981726,91.4,0,921,2.6,40,0.370956620109207,-0.06
0,1,4,189.7,0,1225,32.6,18,0.137360688969172,-0.02
1,1,3.48299264151514,117,1,1102,31.2,57,0.658231202544369,0.24
1,1,2.37222835884436,108.8,1,885,27.1,78,0.880947947067765,0.34
1,1,3.71295335629071,68.4,1,1155,26.4,93,0.897553645477866,0.34
0,0,2.38533166138567,38.1,0,1077,10.4,51,0.705794018172601,0.04
0,1,2.39037655784772,177.8,0,1182,37.2,23,0.317552572305452,0.08
0,0,2.50000615338896,141,1,1097,1.7,52,0.72990399299991,0.24
0,1,3.12315698439785,137.5,0,1087,32.7,31,0.314209972771782,0.04
1,1,3.44009591913909,73.9,0,1141,34,51,0.506268210376282,0.04
0,1,3.23421378173515,42.1,0,1022,39.9,40,0.449506701716977,0.04
1,1,2.91148650034394,81.7,1,835,20.4,68,0.809124259133125,0.18
1,1,3.44041637855598,66.3,0,868,30.4,61,0.599275225924175,-0.02
0,0,2.54796472279734,111.2,1,1273,56.8,56,0.730883035262985,0.34
1,1,3.33549205101249,110.1,0,844,17.8,46,0.442564342584605,-0.02
1,1,2.84875378254792,29.8,1,1408,11.8,90,0.943292054482255,0.5
1,1,2.91892696931095,90.4,1,1061,13.3,56,0.735082754988374,0.24
1,0,3.21274076656481,35.2,0,850,48.5,69,0.718524829946937,-0.02
1,1,2.51438280154066,175.6,0,1195,29,18,0.270823404512967,0.08
1,1,2.15178599758603,34.5,1,1143,43.5,73,0.901458961757867,0.4
1,1,2.85761360016776,62.6,1,1074,15.9,75,0.87020017735793,0.4
0,1,3.19887547684102,220.8,0,1012,37.6,17,0.174463372401846,0.04
1,1,3.22970589375723,47.3,1,1453,0.8,70,0.853970425074277,0.4
0,1,3.68511117560477,95.8,1,856,28.6,57,0.637797315632163,0.08
1,1,3.11539451617092,44.9,1,768,41.9,61,0.754358459485485,0.18
1,1,3.33191922744893,47.2,1,1232,7.4,82,0.892288911634555,0.44
1,1,3.90989792559897,116.9,0,989,35.1,42,0.317954481607509,-0.06
0,1,3.27328165375486,88.8,0,1431,62.4,51,0.503390272378888,0.14
1,1,3.11758573956754,63.3,0,1458,12.7,63,0.710569414528712,0.2
1,1,2.90592991123438,32.1,0,1258,5.5,58,0.727538426827617,0.08
1,1,3.67314133498502,73.1,1,1018,19.9,57,0.67371748031783,0.14
1,1,2.75962137256554,88.1,0,1150,15.4,52,0.61652291659751,0.08
0,1,2.27783055030375,89.1,1,995,24.5,64,0.829220378653436,0.24
1,0,2.82389021804848,188.7,0,1043,79.6,49,0.449830911305755,0.04
0,1,2.44572476139219,94,0,1001,0,38,0.524983140483158,0.04
1,1,2.84600935487359,24.8,1,1034,33.6,69,0.862110491980003,0.24
0,1,2.51973151014069,66.4,0,867,17.1,39,0.521655709675969,-0.02
0,1,2.49166801147819,138.4,0,1346,62.8,30,0.367560947962781,0.14
0,1,2.93688706980662,35.9,1,1096,38.1,70,0.848864635257586,0.24
0,1,2.97929908865092,306.6,0,1232,54.3,0,0.0976512555318658,0.08
0,1,3.53787134137572,240.4,1,757,10,29,0.335423291860284,0.18
1,1,2.45589652174835,269.2,0,995,46.8,13,0.196916554791065,0.04
0,1,3.35821457401331,56.2,1,1078,53,67,0.771165515299708,0.3
0,1,1.93595084125217,10.4,1,1040,28.7,85,0.959003631227809,0.4
1,1,3.33178037788355,97.8,1,891,28.6,57,0.67588091244603,0.18
0,0,3.24216994532224,126.2,0,826,32.6,56,0.528233322271245,-0.02
1,1,2.4462465445901,177.7,0,1363,9,24,0.357487940457325,0.14
1,1,3.75468950273659,57,0,929,53.6,36,0.306699886318928,-0.06
1,1,3.77524195233314,151.5,0,898,12.3,40,0.317863191764765,-0.12
0,1,3.41479976873034,131.2,1,1184,19,54,0.647903310488702,0.28
0,1,2.48870043289187,86.7,0,1251,29.1,38,0.508305893386574,0.08
1,1,3.98317629364056,39.1,1,955,35.4,49,0.585965538318856,0.14
1,1,4,54.7,0,1355,33.5,53,0.483944411585192,0.04
0,1,2.60936184024944,148.1,0,1041,11.2,22,0.310994969737391,0.04
1,0,2.23066399433083,51.7,0,1046,36.3,55,0.713985975889196,0.04
1,1,3.19073145780733,44.3,0,814,42.1,73,0.743765304266141,0.14
1,1,2.47846003666016,75,1,1126,8.9,63,0.831298555029655,0.24
1,1,2.69604354229106,33.5,0,939,43.9,82,0.857819635842052,0.2
0,1,3.72163715818557,118.5,0,823,33.8,36,0.281062165002206,-0.12
1,1,2.47551065943813,93.8,0,1027,3.8,52,0.653396734505953,0.04
1,1,2.64469603210341,174.9,1,1211,0.9,41,0.612588617773933,0.28
1,1,3.13330014344072,70,0,972,38.3,63,0.651948373335667,0.04
1,1,3.29802406784337,41.7,0,1193,29,46,0.52387210251424,0.08
0,1,3.62553468138039,86,0,1039,49.9,58,0.51641700960806,-0.06
1,1,2.71731177345422,16.4,1,1307,9.3,72,0.908784388518353,0.5
0,1,4,184.1,0,1301,26.2,18,0.144071031281774,0.04
0,1,3.13730440232555,237.9,1,1057,18.3,24,0.342067178654595,0.24
1,1,2.73949916431181,63.5,0,1152,33.4,42,0.524392919370206,0.08
0,1,3.31293008270387,141.9,0,1064,65.8,36,0.300476010629773,0.04
1,1,3.08899483787014,58,0,1148,25.8,52,0.589723474483295,0.04
1,1,3.62283531450122,19.9,0,1317,28.4,75,0.787613676184271,0.2
0,0,3.54203146559304,197.6,0,1064,28,23,0.195151280801514,0.04
1,1,2.94578956196942,159.2,1,1243,0,38,0.558439305914684,0.28
1,1,2.93561474308607,31.7,0,1039,43.2,57,0.670095466527595,0.04
1,1,3.14776921761276,50.3,1,997,61.4,51,0.656353286646869,0.3
1,1,3.56529459185144,29.1,1,976,32.7,82,0.876658922117598,0.4
1,1,2.3060020582216,56,0,1294,27.1,49,0.671263339715374,0.08
0,1,3.13072903979188,161.9,0,1167,40.6,25,0.252585672916004,0.08
1,1,2.56135198032318,53,0,1016,2.9,68,0.799885818231105,0.04
0,1,2.3111339687911,263.6,0,1092,30.7,16,0.248784580015288,0.04
1,1,2.64242124114291,55.1,0,1216,42.9,63,0.73190518857836,0.08
1,1,2.9212429422574,71.4,0,1003,48.9,49,0.534915235531145,0.04
1,1,2.72750307657656,81.3,0,1181,47.4,70,0.750570897610866,0.08
1,1,3.43869190979477,114.1,0,1162,38.1,39,0.357267247251366,0.08
1,1,2.97119380344384,72.9,0,1230,23.7,52,0.597318324703835,0.08
1,1,3.39304271244872,40.4,0,1351,15.1,73,0.774276432799859,0.3
1,1,3.09130728528703,319.4,1,1175,37.9,7,0.189785570122944,0.28
1,0,3.11696546417982,106.4,0,1170,57.4,29,0.29445842945937,0.08
0,0,3.62928066034025,23.2,0,1102,58.4,59,0.608320243058573,-0.06
0,1,3.16954915812274,82.2,0,1329,29.2,38,0.423741854284808,0.14
0,0,2.96909575760738,62.6,0,1355,55.7,59,0.64746973207226,0.14
1,1,3.05162855251226,54.2,0,1172,40.6,58,0.641733197343191,0.08
1,0,1.8341103009206,44.3,0,1330,19.2,46,0.723428705363739,0.14
1,1,3.1395638055245,69.6,1,1161,58.2,59,0.718413691202956,0.34
0,1,2.92241548897269,288.6,1,1157,83.3,11,0.199729560684243,0.34
0,1,3.59469418298239,95.1,0,1321,0,52,0.526190803812344,0.14
1,1,2.48782080556863,207.6,0,1085,36.7,10,0.19720610138579,0.04
1,1,2.8271276564597,45.1,0,1058,45.6,71,0.773172464824583,0.2
1,1,3.30694749120607,51.9,0,1245,7.9,76,0.791916405981025,0.24
1,1,3.886173055944,142.4,1,1141,0,53,0.598295982707949,0.14
0,1,3.29745576872945,109.6,0,1196,70.1,42,0.375029842510884,0.08
0,1,2.5786205478043,62.8,0,1286,0,31,0.482419202000236,0.08
0,0,2.62045641502494,76.1,0,959,31.7,42,0.518089614370381,0.04
1,1,3.28817052694764,71.2,1,972,16,87,0.892728226123898,0.4
0,1,3.95664616905244,96.9,1,781,28.2,49,0.524490702574394,0.08
1,0,2.00130732503962,130.6,0,1108,52.6,52,0.647599972202869,0.04
1,1,3.0686478274625,82.5,1,955,12.4,71,0.825342056851611,0.4
1,1,2.9648992177088,100.5,1,1021,22.8,66,0.788817267449977,0.24
1,0,2.770091691789,90.8,0,1257,31.6,58,0.658399086581946,0.08
1,1,1.62302378359475,123.3,1,862,62.6,60,0.807971561288136,0.24
1,1,2.33030630463243,35.9,0,1260,65.2,62,0.762448821492013,0.08
1,0,2.3826356650655,199.6,1,874,6.6,48,0.671560979525647,0.18
1,1,3.43960240101259,99,0,1220,40.3,62,0.593016849523761,0.08
0,1,2.56357820606246,206.1,0,963,11.6,28,0.344443480479393,0.04
0,1,3.9890993793825,49.5,0,960,27.5,54,0.484215948106078,-0.06
0,0,3.50827332493192,125.1,1,1025,30,47,0.552550331755527,0.24
0,0,2.94030197695313,166.4,1,1017,53.7,46,0.562747436197113,0.3
0,1,3.76544411889088,123.7,0,1192,49.5,48,0.384131315636137,-0.02
1,1,2.85681815930925,24.4,0,1037,14.7,67,0.793735383284948,0.04
0,1,3.02760574404182,537.4,0,1180,39.8,0,0.0865812097979176,0.08
0,1,3.07989842073125,131.1,1,1128,14,64,0.764128925266611,0.24
0,1,3.50164183381943,112.5,0,985,60.7,50,0.420276654662969,0.04
0,1,3.33929516241419,43.3,0,900,15.2,33,0.384623806033064,0.04
0,1,3.295476014837,41.2,1,962,49.6,68,0.795028759616687,0.24
0,1,3.60026999441405,27.3,1,1099,30.4,70,0.820959508290684,0.14
0,0,3.0857300108953,72.3,0,1100,28.6,43,0.479893729011865,0.04
1,1,2.53612436500765,44,0,1145,33.8,74,0.830164859486148,0.2
1,1,2.43171195822256,81.8,0,1176,71.3,53,0.616859274339923,0.08
0,1,3.14691491379279,65,0,1099,39.5,37,0.407826813243639,0.04
0,1,2.80704352998897,73.9,0,1339,28.2,57,0.665582630086658,0.14
0,1,2.97789644487885,55.6,1,937,15.3,67,0.821601570760574,0.24
1,1,3.18152621581254,42.6,0,1173,27.9,72,0.767390475514738,0.24
1,0,3.65718912814536,68.3,0,888,71,53,0.445561996833071,-0.12
1,1,3.68671682298025,32.1,0,900,65.7,61,0.578923648990685,-0.06
1,1,3.20923612665707,55.2,0,1159,3.6,44,0.522667810565105,0.08
0,0,2.8825875682286,82.7,0,1036,34.7,42,0.477832023124792,0.04
1,0,2.84861126848671,62.8,0,1280,15.8,39,0.507532657300973,0.08
1,1,2.99179144310706,63.8,0,1098,0,57,0.666200271927444,0.04
0,1,3.37649935718025,73.7,0,1039,9.6,47,0.495665340536364,0.04
1,1,2.82885308833411,115.3,0,1073,27.2,43,0.482749935093941,0.04
1,1,3.48075032440091,67.1,1,970,54.9,76,0.807386007063806,0.46
0,0,2.55437110132462,115.6,0,1001,22.7,36,0.450912648480206,0.04
1,1,2.74402350833281,39.5,0,990,38.9,58,0.69013756741762,0.04
1,1,3.65398616966608,57.4,1,1132,44.7,90,0.884943251766457,0.3
1,1,3.50976079629047,66.1,1,1300,59.9,76,0.815194210600136,0.56
1,1,2.73996142745726,164.9,1,1115,34.1,42,0.574379023375618,0.24
1,1,3.60785513399307,53.3,1,1124,35,71,0.796221095933808,0.3
1,1,2.61910950627701,36,0,1237,5.1,60,0.765889155499186,0.08
1,0,2.9799886564884,66.5,0,1061,0,46,0.558939827252036,0.04
0,0,3.10034141300192,46.8,1,864,34.3,65,0.791691617925441,0.18
0,0,3.44599640610457,53.5,0,1096,23.5,65,0.66947372907328,0.04
0,1,2.92132991519572,88.9,0,1275,48.1,46,0.507685175469711,0.08
1,1,3.41092066645478,82.4,0,1127,24.2,55,0.552466674063677,0.04
0,1,3.74244491413023,307.2,0,1240,15.1,0,0.0780317924913343,-0.02
0,1,3.91381491659462,52.7,0,1249,32.7,51,0.472631421618021,-0.02
0,1,3.00884990346153,347,1,750,26.4,17,0.251347938659037,0.18
0,1,3.44905725105859,83.6,1,1061,25.7,58,0.693916033074232,0.24
0,0,3.79674961415441,42.2,0,1061,20,62,0.614105417554384,-0.06
1,1,1.93546729191279,88.9,1,1419,5.2,44,0.756311940705748,0.34
1,0,3.00280113207953,59.3,0,1071,9.4,45,0.544143861282218,0.04
1,0,3.07905491195762,40.9,0,1296,7.4,57,0.686128178127438,0.08
1,0,2.45301600532466,121,0,1197,47,59,0.669995632513378,0.08
1,1,3.25803903712402,50.7,1,1175,29.5,66,0.798660510022619,0.28
0,1,2.53412288057016,87.8,0,926,34.8,66,0.734665530069604,0.04
0,1,2.87049625956063,78.7,1,962,34.4,68,0.809087409244168,0.24
0,1,2.87479931093461,79,0,967,41.7,47,0.520030005243317,0.04
1,1,3.09046395782151,37.5,0,1000,18.6,54,0.635577590339824,0.04
1,1,3.6646721435962,50.5,0,895,5.1,43,0.43833981154346,-0.12
1,1,2.58367962701227,79.3,0,1048,31.4,60,0.695254446552663,0.04
1,1,2.93162090330222,69.4,1,1164,47.1,69,0.815285062208404,0.28
1,1,3.06773447770933,191.1,0,1072,27.9,31,0.304860454996837,0.04
1,1,2.59601013671857,28.4,0,953,47.1,45,0.600254566862704,0.04
1,1,3.38427973992225,50.9,0,1132,24,60,0.636507348386211,0.04
0,1,2.96674492285641,265.1,0,1126,48.1,25,0.235892207259259,0.04
1,1,3.21088779736145,60.3,0,1042,0,74,0.777662020658864,0.2
1,1,3.10765609521448,46.2,0,1227,38.2,52,0.593928299444085,0.08
0,1,3.05406444245415,136.7,1,1131,44.7,40,0.520398181770441,0.24
1,1,4,104.6,1,1005,31.5,46,0.494486637481381,0.14
1,1,3.37890728804715,71.5,0,974,46.8,29,0.286954156435136,0.04
0,0,2.54357410570828,156.1,0,925,0.7,24,0.33699311590666,0.04
1,1,2.99449429430535,24.8,0,1218,18.7,71,0.810788728036815,0.24
1,1,3.06278599185645,102.4,1,965,23,61,0.741107197439339,0.24
0,1,3.42931870382431,79.4,0,1036,17.4,32,0.33135803799944,0.04
0,1,3.22064617049497,113.7,0,961,26.8,48,0.47330665324014,0.04
0,1,3.16411356794595,84.3,0,848,54.4,56,0.544246131489263,-0.02
0,1,3.04012615537246,52.3,0,1189,12.9,35,0.451443127999845,0.08
1,1,2.92220862187,78.1,0,1357,6.3,36,0.467674065888828,0.14
0,1,2.85098202129481,146.5,0,1128,16.7,23,0.291565691004227,0.04
0,1,3.39368706395289,235.4,1,1117,57.2,39,0.418773579106293,0.3
0,1,2.72088661840534,133,1,1173,43.8,50,0.659331851772634,0.28
1,1,3.13740974040102,52.6,0,1329,4.9,47,0.574511184623919,0.14
0,0,2.44016028767512,197.8,1,1038,58.5,33,0.475863989005524,0.3
0,1,3.43386894028105,64.6,0,1226,20.9,43,0.456239968783335,0.08
0,1,3.64898163697703,31,0,1096,22.1,68,0.704623758716137,-0.06
0,1,3.47375199510902,128.1,0,993,25.3,31,0.279972496161015,0.04
1,1,3.1628674550214,62.1,0,1304,37.3,40,0.453083695514345,0.14
1,1,2.97491237590251,66,1,1101,26.2,66,0.80759330319916,0.24
0,1,3.41027487576958,53.4,0,1203,43.8,44,0.455963607407275,0.08
1,1,3.06273737144333,93.6,1,934,24.8,75,0.834931526989745,0.4
1,1,2.39606383904661,137.7,1,1071,61.6,43,0.603366533034623,0.3
1,1,3.53976355782733,100.9,1,808,41.9,80,0.812940836296109,0.34
0,1,3.32138637955549,70.9,0,802,40.3,39,0.379738133149865,-0.02
0,1,3.19510081238697,312.2,0,1208,35.6,0,0.0935481871947689,0.08
1,1,2.39171820284541,74.3,1,1236,44.2,52,0.744672598368921,0.28
1,0,1.94136686886942,71.4,0,1093,44.5,65,0.795870267760487,0.04
1,0,2.98721598672754,119.1,0,1108,18.2,55,0.589819749671393,0.04
1,1,3.38374454104769,27,0,927,1.9,60,0.685532082472205,0.04
1,1,2.93895057130283,79.9,0,956,17.4,51,0.575888412521638,0.04
0,1,2.33581335073421,58.6,0,1112,27.7,25,0.419915348581893,0.04
0,0,2.58936010152455,71.9,1,1118,0,74,0.884070640461857,0.4
0,1,2.91933102033189,266.8,1,823,69.1,30,0.34849915208983,0.24
0,1,2.79527353140548,42.8,0,998,32.1,62,0.719616896790351,0.04
0,1,4,167.6,1,1144,18.1,54,0.564796528452461,0.14
0,1,2.88562386838137,115.6,0,864,7.2,46,0.513690845780731,-0.02
0,0,4,39,0,865,43.2,69,0.623230714424569,-0.12
1,1,2.48763718872357,138.1,0,1083,21.6,29,0.385955690009326,0.04
0,0,2.79620981406918,138,0,1149,9.2,40,0.46933899462827,0.04
0,0,3.47990508818503,115,0,825,11.3,46,0.425943026411007,-0.02
0,1,3.09510294349854,117.5,0,1164,53.7,31,0.311189906760281,0.08
0,0,3.16274204348721,132.7,1,1241,11,51,0.65804488645943,0.28
1,1,3.08533803446331,131.2,1,968,19.7,67,0.773398709008367,0.24
1,1,3.26936378904815,34.9,0,1074,2.8,48,0.58064542252549,0.04
0,1,3.01396892296456,83.3,0,1255,0,54,0.628185439071135,0.08
1,1,3.72164179074416,74.5,0,1145,40.9,55,0.499657467888415,-0.06
0,1,2.24039934558775,39.7,0,1083,12.4,46,0.676170143872442,0.04
0,1,3.38251638731466,43,0,980,24.4,56,0.600532149292003,0.04
1,1,2.94620623305567,107.2,1,925,30.3,44,0.591869280827074,0.24
1,0,2.25965247909876,153.3,0,1290,52.1,44,0.537320331668046,0.08
0,0,1.95676164007999,56.7,1,1103,16.3,65,0.87641169385064,0.24
1,1,3.84004679632295,55.5,1,881,28.7,68,0.748298975785962,0.08
1,1,2.36324499548173,49.3,1,959,11.3,67,0.866719958072486,0.24
1,1,2.86016821214479,199.8,1,978,52.8,65,0.729730230421213,0.3
1,1,3.21519620489427,65.6,0,1187,37.9,53,0.563651472669767,0.08
1,0,2.37565492853447,74.3,1,1016,46.8,48,0.700883330896757,0.24
