scholarship,completed,gpa,parental_income,first_generation,sat_score,distance_to_college,financial_need
0,1,3.23421378173515,42.1,0,1022,39.9,40
1,1,2.91148650034394,81.7,1,835,20.4,68
1,1,3.44041637855598,66.3,0,868,30.4,61
0,0,2.54796472279734,111.2,1,1273,56.8,56
1,1,3.33549205101249,110.1,0,844,17.8,46
1,1,2.84875378254792,29.8,1,1408,11.8,90
1,1,2.91892696931095,90.4,1,1061,13.3,56
1,0,3.21274076656481,35.2,0,850,48.5,69
1,1,2.51438280154066,175.6,0,1195,29,18
1,1,2.15178599758603,34.5,1,1143,43.5,73
1,1,2.85761360016776,62.6,1,1074,15.9,75
0,1,3.19887547684102,220.8,0,1012,37.6,17
1,1,3.22970589375723,47.3,1,1453,0.8,70
0,1,3.68511117560477,95.8,1,856,28.6,57
1,1,3.11539451617092,44.9,1,768,41.9,61
1,1,3.33191922744893,47.2,1,1232,7.4,82
1,1,3.90989792559897,116.9,0,989,35.1,42
0,1,3.27328165375486,88.8,0,1431,62.4,51
1,1,3.11758573956754,63.3,0,1458,12.7,63
1,1,2.90592991123438,32.1,0,1258,5.5,58
1,1,3.67314133498502,73.1,1,1018,19.9,57
1,1,2.75962137256554,88.1,0,1150,15.4,52
0,1,2.27783055030375,89.1,1,995,24.5,64
1,0,2.82389021804848,188.7,0,1043,79.6,49
0,1,2.44572476139219,94,0,1001,0,38
1,1,2.84600935487359,24.8,1,1034,33.6,69
0,1,2.51973151014069,66.4,0,867,17.1,39
0,1,2.49166801147819,138.4,0,1346,62.8,30
0,1,2.93688706980662,35.9,1,1096,38.1,70
0,1,2.97929908865092,306.6,0,1232,54.3,0
0,1,3.53787134137572,240.4,1,757,10,29
1,1,2.45589652174835,269.2,0,995,46.8,13
0,1,3.35821457401331,56.2,1,1078,53,67
0,1,1.93595084125217,10.4,1,1040,28.7,85
1,1,3.33178037788355,97.8,1,891,28.6,57
0,0,3.24216994532224,126.2,0,826,32.6,56
1,1,2.4462465445901,177.7,0,1363,9,24
1,1,3.75468950273659,57,0,929,53.6,36
1,1,3.77524195233314,151.5,0,898,12.3,40
0,1,3.41479976873034,131.2,1,1184,19,54
0,1,2.48870043289187,86.7,0,1251,29.1,38
1,1,3.98317629364056,39.1,1,955,35.4,49
1,1,4,54.7,0,1355,33.5,53
0,1,2.60936184024944,148.1,0,1041,11.2,22
1,0,2.23066399433083,51.7,0,1046,36.3,55
1,1,3.19073145780733,44.3,0,814,42.1,73
1,1,2.47846003666016,75,1,1126,8.9,63
1,1,2.69604354229106,33.5,0,939,43.9,82
0,1,3.72163715818557,118.5,0,823,33.8,36
1,1,2.47551065943813,93.8,0,1027,3.8,52
1,1,2.64469603210341,174.9,1,1211,0.9,41
1,1,3.13330014344072,70,0,972,38.3,63
1,1,3.29802406784337,41.7,0,1193,29,46
0,1,3.62553468138039,86,0,1039,49.9,58
1,1,2.71731177345422,16.4,1,1307,9.3,72
0,1,4,184.1,0,1301,26.2,18
0,1,3.13730440232555,237.9,1,1057,18.3,24
1,1,2.73949916431181,63.5,0,1152,33.4,42
0,1,3.31293008270387,141.9,0,1064,65.8,36
1,1,3.08899483787014,58,0,1148,25.8,52
1,1,3.62283531450122,19.9,0,1317,28.4,75
0,0,3.54203146559304,197.6,0,1064,28,23
1,1,2.94578956196942,159.2,1,1243,0,38
1,1,2.93561474308607,31.7,0,1039,43.2,57
1,1,3.14776921761276,50.3,1,997,61.4,51
1,1,3.56529459185144,29.1,1,976,32.7,82
1,1,2.3060020582216,56,0,1294,27.1,49
0,1,3.13072903979188,161.9,0,1167,40.6,25
1,1,2.56135198032318,53,0,1016,2.9,68
0,1,2.3111339687911,263.6,0,1092,30.7,16
1,1,2.64242124114291,55.1,0,1216,42.9,63
1,1,2.9212429422574,71.4,0,1003,48.9,49
1,1,2.72750307657656,81.3,0,1181,47.4,70
1,1,3.43869190979477,114.1,0,1162,38.1,39
1,1,2.97119380344384,72.9,0,1230,23.7,52
1,1,3.39304271244872,40.4,0,1351,15.1,73
1,1,3.09130728528703,319.4,1,1175,37.9,7
1,0,3.11696546417982,106.4,0,1170,57.4,29
0,0,3.62928066034025,23.2,0,1102,58.4,59
0,1,3.16954915812274,82.2,0,1329,29.2,38
0,0,2.96909575760738,62.6,0,1355,55.7,59
1,1,3.05162855251226,54.2,0,1172,40.6,58
1,0,1.8341103009206,44.3,0,1330,19.2,46
1,1,3.1395638055245,69.6,1,1161,58.2,59
0,1,2.92241548897269,288.6,1,1157,83.3,11
0,1,3.59469418298239,95.1,0,1321,0,52
1,1,2.48782080556863,207.6,0,1085,36.7,10
1,1,2.8271276564597,45.1,0,1058,45.6,71
1,1,3.30694749120607,51.9,0,1245,7.9,76
1,1,3.886173055944,142.4,1,1141,0,53
0,1,3.29745576872945,109.6,0,1196,70.1,42
0,1,2.5786205478043,62.8,0,1286,0,31
0,0,2.62045641502494,76.1,0,959,31.7,42
1,1,3.28817052694764,71.2,1,972,16,87
0,1,3.95664616905244,96.9,1,781,28.2,49
1,0,2.00130732503962,130.6,0,1108,52.6,52
1,1,3.0686478274625,82.5,1,955,12.4,71
1,1,2.9648992177088,100.5,1,1021,22.8,66
1,0,2.770091691789,90.8,0,1257,31.6,58
1,1,1.62302378359475,123.3,1,862,62.6,60
1,1,2.33030630463243,35.9,0,1260,65.2,62
1,0,2.3826356650655,199.6,1,874,6.6,48
1,1,3.43960240101259,99,0,1220,40.3,62
0,1,2.56357820606246,206.1,0,963,11.6,28
0,1,3.9890993793825,49.5,0,960,27.5,54
0,0,3.50827332493192,125.1,1,1025,30,47
0,0,2.94030197695313,166.4,1,1017,53.7,46
0,1,3.76544411889088,123.7,0,1192,49.5,48
1,1,2.85681815930925,24.4,0,1037,14.7,67
0,1,3.02760574404182,537.4,0,1180,39.8,0
0,1,3.07989842073125,131.1,1,1128,14,64
0,1,3.50164183381943,112.5,0,985,60.7,50
0,1,3.33929516241419,43.3,0,900,15.2,33
0,1,3.295476014837,41.2,1,962,49.6,68
0,1,3.60026999441405,27.3,1,1099,30.4,70
0,0,3.0857300108953,72.3,0,1100,28.6,43
1,1,2.53612436500765,44,0,1145,33.8,74
1,1,2.43171195822256,81.8,0,1176,71.3,53
0,1,3.14691491379279,65,0,1099,39.5,37
0,1,2.80704352998897,73.9,0,1339,28.2,57
0,1,2.97789644487885,55.6,1,937,15.3,67
1,1,3.18152621581254,42.6,0,1173,27.9,72
1,0,3.65718912814536,68.3,0,888,71,53
1,1,3.68671682298025,32.1,0,900,65.7,61
1,1,3.20923612665707,55.2,0,1159,3.6,44
0,0,2.8825875682286,82.7,0,1036,34.7,42
1,0,2.84861126848671,62.8,0,1280,15.8,39
1,1,2.99179144310706,63.8,0,1098,0,57
0,1,3.37649935718025,73.7,0,1039,9.6,47
1,1,2.82885308833411,115.3,0,1073,27.2,43
1,1,3.48075032440091,67.1,1,970,54.9,76
0,0,2.55437110132462,115.6,0,1001,22.7,36
1,1,2.74402350833281,39.5,0,990,38.9,58
1,1,3.65398616966608,57.4,1,1132,44.7,90
1,1,3.50976079629047,66.1,1,1300,59.9,76
1,1,2.73996142745726,164.9,1,1115,34.1,42
1,1,3.60785513399307,53.3,1,1124,35,71
1,1,2.61910950627701,36,0,1237,5.1,60
1,0,2.9799886564884,66.5,0,1061,0,46
0,0,3.10034141300192,46.8,1,864,34.3,65
0,0,3.44599640610457,53.5,0,1096,23.5,65
0,1,2.92132991519572,88.9,0,1275,48.1,46
1,1,3.41092066645478,82.4,0,1127,24.2,55
0,1,3.74244491413023,307.2,0,1240,15.1,0
0,1,3.91381491659462,52.7,0,1249,32.7,51
0,1,3.00884990346153,347,1,750,26.4,17
0,1,3.44905725105859,83.6,1,1061,25.7,58
0,0,3.79674961415441,42.2,0,1061,20,62
1,1,1.93546729191279,88.9,1,1419,5.2,44
1,0,3.00280113207953,59.3,0,1071,9.4,45
1,0,3.07905491195762,40.9,0,1296,7.4,57
1,0,2.45301600532466,121,0,1197,47,59
1,1,3.25803903712402,50.7,1,1175,29.5,66
0,1,2.53412288057016,87.8,0,926,34.8,66
0,1,2.87049625956063,78.7,1,962,34.4,68
0,1,2.87479931093461,79,0,967,41.7,47
1,1,3.09046395782151,37.5,0,1000,18.6,54
1,1,3.6646721435962,50.5,0,895,5.1,43
1,1,2.58367962701227,79.3,0,1048,31.4,60
1,1,2.93162090330222,69.4,1,1164,47.1,69
1,1,3.06773447770933,191.1,0,1072,27.9,31
1,1,2.59601013671857,28.4,0,953,47.1,45
1,1,3.38427973992225,50.9,0,1132,24,60
0,1,2.96674492285641,265.1,0,1126,48.1,25
1,1,3.21088779736145,60.3,0,1042,0,74
1,1,3.10765609521448,46.2,0,1227,38.2,52
0,1,3.05406444245415,136.7,1,1131,44.7,40
1,1,4,104.6,1,1005,31.5,46
1,1,3.37890728804715,71.5,0,974,46.8,29
0,0,2.54357410570828,156.1,0,925,0.7,24
1,1,2.99449429430535,24.8,0,1218,18.7,71
1,1,3.06278599185645,102.4,1,965,23,61
0,1,3.42931870382431,79.4,0,1036,17.4,32
0,1,3.22064617049497,113.7,0,961,26.8,48
0,1,3.16411356794595,84.3,0,848,54.4,56
0,1,3.04012615537246,52.3,0,1189,12.9,35
1,1,2.92220862187,78.1,0,1357,6.3,36
0,1,2.85098202129481,146.5,0,1128,16.7,23
0,1,3.39368706395289,235.4,1,1117,57.2,39
0,1,2.72088661840534,133,1,1173,43.8,50
1,1,3.13740974040102,52.6,0,1329,4.9,47
0,0,2.44016028767512,197.8,1,1038,58.5,33
0,1,3.43386894028105,64.6,0,1226,20.9,43
0,1,3.64898163697703,31,0,1096,22.1,68
0,1,3.47375199510902,128.1,0,993,25.3,31
1,1,3.1628674550214,62.1,0,1304,37.3,40
1,1,2.97491237590251,66,1,1101,26.2,66
0,1,3.41027487576958,53.4,0,1203,43.8,44
1,1,3.06273737144333,93.6,1,934,24.8,75
1,1,2.39606383904661,137.7,1,1071,61.6,43
1,1,3.53976355782733,100.9,1,808,41.9,80
0,1,3.32138637955549,70.9,0,802,40.3,39
0,1,3.19510081238697,312.2,0,1208,35.6,0
1,1,2.39171820284541,74.3,1,1236,44.2,52
1,0,1.94136686886942,71.4,0,1093,44.5,65
1,0,2.98721598672754,119.1,0,1108,18.2,55
1,1,3.38374454104769,27,0,927,1.9,60
1,1,2.93895057130283,79.9,0,956,17.4,51
0,1,2.33581335073421,58.6,0,1112,27.7,25
0,0,2.58936010152455,71.9,1,1118,0,74
0,1,2.91933102033189,266.8,1,823,69.1,30
0,1,2.79527353140548,42.8,0,998,32.1,62
0,1,4,167.6,1,1144,18.1,54
0,1,2.88562386838137,115.6,0,864,7.2,46
0,0,4,39,0,865,43.2,69
1,1,2.48763718872357,138.1,0,1083,21.6,29
0,0,2.79620981406918,138,0,1149,9.2,40
0,0,3.47990508818503,115,0,825,11.3,46
0,1,3.09510294349854,117.5,0,1164,53.7,31
0,0,3.16274204348721,132.7,1,1241,11,51
1,1,3.08533803446331,131.2,1,968,19.7,67
1,1,3.26936378904815,34.9,0,1074,2.8,48
0,1,3.01396892296456,83.3,0,1255,0,54
1,1,3.72164179074416,74.5,0,1145,40.9,55
0,1,2.24039934558775,39.7,0,1083,12.4,46
0,1,3.38251638731466,43,0,980,24.4,56
1,1,2.94620623305567,107.2,1,925,30.3,44
1,0,2.25965247909876,153.3,0,1290,52.1,44
0,0,1.95676164007999,56.7,1,1103,16.3,65
1,1,3.84004679632295,55.5,1,881,28.7,68
1,1,2.36324499548173,49.3,1,959,11.3,67
1,1,2.86016821214479,199.8,1,978,52.8,65
1,1,3.21519620489427,65.6,0,1187,37.9,53
1,0,2.37565492853447,74.3,1,1016,46.8,48
1,0,3.65622694200305,121.7,0,1212,37.2,26
1,1,2.77987800251961,39.9,1,1172,65.6,54
1,1,3.00669417209009,82.3,0,1232,4.5,55
0,1,3.85367591550974,121.7,0,1173,27.5,36
0,1,3.26154781667211,410.8,0,1402,33.7,0
0,0,3.03587531782373,121,0,1142,64.5,28
0,0,2.1391038022062,138.4,0,1013,61.2,50
0,1,3.11119105795628,250.5,1,1105,0,28
0,0,2.90327116735498,92.1,0,1445,61.2,60
1,1,4,161.9,0,1087,33.7,22
1,1,3.29260048819004,101.1,1,1235,55.5,67
0,0,3.11578497151714,50.8,1,1136,24.5,62
0,0,2.97377699230644,64.9,0,1028,44.6,35
0,0,3.94034682923557,91.2,0,1221,16.6,53
1,1,3.38021632485823,93.6,1,911,25.2,70
1,0,3.18433008589149,33.4,0,951,6.6,60
1,0,2.70991876745702,78.1,0,1213,37.8,46
1,1,2.51950408288626,121.4,0,1270,26.1,19
1,1,3.52104934628152,83.9,0,933,0,68
0,1,3.30423084053589,99.3,0,1170,38.3,46
0,1,3.15397552907883,174.2,0,994,43.4,18
1,1,3.51064225019259,79,0,942,36.8,48
1,1,3.3831815503046,22.6,1,1077,46.5,62
1,0,2.13080366604047,119.6,0,1019,19.1,55
1,1,3.71028735195245,98.5,0,1050,40.9,31
0,1,3.18788458855466,63.8,0,1004,29.6,50
1,1,3.08309854353013,34.6,0,1029,21.3,54
0,1,3.86822926816803,153.9,0,796,37.2,39
1,0,3.02492818328253,91.9,0,1103,33,41
0,0,2.67765300373826,119.6,0,997,25.9,45
0,0,2.46118062001046,95.1,0,990,73.9,44
1,0,2.77055930689808,49.3,0,1195,43.4,51
1,1,2.76767993618447,25.3,1,972,25.9,51
1,1,2.63145660408371,180.6,0,1147,27,46
1,0,2.32481623887148,45.9,0,758,66.7,77
1,1,3.30275555459482,22,1,1212,41.2,92
1,1,3.22476517812735,103.9,1,882,27.4,74
1,1,3.03679967808086,62,0,1249,34.9,34
0,1,3.14513214803677,72.6,0,970,50.7,45
1,0,2.02607604304443,27,0,1040,44.9,32
0,1,3.43036564655541,84.2,0,1127,36.4,78
1,1,3.32480664538274,43.1,1,1025,45.3,71
1,0,3.30556542370836,32.9,0,1094,22.8,68
0,0,3.42756410304708,26.3,0,1193,51.4,66
1,0,3.66154649137626,60.2,0,1210,44.5,42
1,1,3.07077638127896,83.2,1,1320,4.4,65
0,0,3.79317564528645,76.1,1,809,62.9,64
1,0,2.90814458055164,41.5,1,1040,50.4,56
1,1,3.01844947816746,109.2,1,1020,22.1,64
1,1,2.90063918717749,53.2,1,1118,37.6,64
1,1,2.96715825469183,95.1,0,1196,8.3,22
0,1,3.37941652738999,37.7,0,1084,32.1,45
1,1,3.23873388723516,80,1,1475,0,77
0,0,2.57101248144251,272.6,1,979,56.7,29
1,1,3.67691043794884,72.8,0,1311,30.5,50
1,1,3.28809625905441,70.8,0,1065,37,44
1,1,3.11203066402812,114.7,0,920,39.2,29
0,1,3.44656311649228,281.5,0,1080,38.2,12
0,1,3.20175223742328,73.2,0,1106,25,37
1,1,3.00038333203125,66.4,0,885,42.4,57
0,0,3.21804894655861,40.3,0,1112,25.8,49
0,0,3.18504787844159,92.2,0,939,14.2,27
1,1,2.34672890783316,125.3,1,1172,31.4,66
0,1,3.20370800599341,32.7,0,929,37,31
1,1,3.84462023017517,294,1,1007,34.9,44
1,1,3.7054850452531,92.3,1,1117,2,51
1,1,3.32022369546052,55.2,0,972,51.5,45
1,1,3.0467582805787,63.6,1,1019,22,65
0,1,3.55496968178017,88.6,0,1072,36.1,29
0,1,2.98622807433422,78.9,0,1241,57.2,38
1,1,2.31707101987645,32.4,1,1035,24.9,73
0,1,3.52941821603087,165.3,0,1096,26.4,6
1,1,2.78100770437388,17.6,0,1085,25.5,64
0,0,3.09883815769376,136.8,1,1253,42.3,41
1,1,3.91495638415686,91.8,1,1126,19.1,69
1,0,2.26898295420183,63.2,0,1043,58.4,51
1,1,3.0682444961875,33,0,1129,0,54
1,1,2.8393466293216,203.4,0,1137,0.4,36
1,1,3.64335116641308,162.3,0,1127,7.4,22
0,0,2.36607652159665,60,0,1103,41,45
0,1,2.94670211401291,76.6,0,1082,30.4,73
1,1,3.28385706270525,102.9,0,1073,35.6,32
1,1,2.7332301015219,74,1,1121,26.9,80
1,1,3.48477951208308,50.4,0,914,27.7,66
1,1,2.623523371473,144.7,0,1025,19.5,48
0,1,2.97256483675004,205.2,1,1037,24.8,42
0,0,2.38906699356141,435.5,0,1163,46.7,0
1,1,3.63949195194471,166.8,0,1028,37.7,28
0,1,4,230.6,1,1083,48.4,40
1,1,3.15112263692286,121.6,0,1011,0,37
1,1,3.22409212250808,54.4,0,1023,0,58
0,1,2.97020255396875,79.5,0,1128,36.4,51
1,1,1.91415943118387,32.2,0,1228,21.4,46
0,1,3.36356988755651,308.3,0,1116,5.5,13
1,1,3.76839129922846,257.9,1,1099,56.9,34
1,1,3.48516483237712,133,0,919,32.7,69
1,1,3.31703788938777,90.3,0,1212,28.2,39
1,1,3.44399713845746,78.1,1,963,19.2,58
1,1,2.91068814628137,54.8,0,1194,18.5,41
0,1,3.17905042207373,163.8,0,1116,0,14
1,1,2.93043382206392,32.1,0,771,54.1,51
1,1,3.24768787784338,178.3,0,1288,20.3,36
1,1,3.14632170679461,106,0,842,16,30
1,1,2.74614046154709,162.2,1,1135,31.2,40
1,1,3.29461352068125,36.8,0,803,42,54
1,1,1.5,150.9,1,1203,0,57
0,1,2.73503309638529,145.3,0,793,35.5,30
1,1,2.75191882039986,86.7,1,932,26.2,95
0,0,2.47889234075564,70.3,0,961,69.7,48
1,1,2.8631925780904,78.4,0,1156,29.6,68
0,1,2.37142151707385,44.3,0,869,28.6,59
0,0,2.77549271926864,95.8,1,1070,43.6,38
1,0,2.84775472040058,68.1,0,897,68.5,60
1,1,3.5064490283537,27.5,1,1141,9.6,90
0,0,1.85585401522058,153.2,1,1254,43.3,44
0,0,3.19595266408917,57,0,1144,43.2,54
1,1,2.52603597688618,78.3,0,980,26.2,61
1,1,3.10935028923314,63.8,1,1305,32.7,84
0,1,3.16318617005118,74.5,1,681,64.4,75
1,1,3.09320125578542,71.2,0,1353,27.1,35
0,0,2.05259772129958,85.6,0,856,67.1,33
1,1,3.40706934840273,77.1,1,926,2.2,85
0,1,2.40994471307672,130.2,1,1121,11.7,52
1,0,3.160125939708,40,0,986,31.6,57
1,1,3.15122931016447,69.1,1,1050,43.7,75
0,1,3.23787336696445,60.3,0,1213,37.1,31
1,1,2.4285845347255,23.3,0,1044,24.2,49
1,1,3.1229479877862,50.2,1,1261,17.5,74
1,1,3.06748638328573,146.8,1,1264,20.9,37
0,0,3.3079510643426,106,0,1072,25.4,47
0,0,2.58886067923574,147.7,0,1241,35.6,28
0,1,2.76552307064279,116.2,0,1466,29.1,52
1,1,3.4050049286084,26.4,1,1289,30.3,79
1,1,3.59992286222895,94.4,1,1143,20.2,46
0,0,2.50687835780296,63.2,0,1141,70.3,38
1,1,2.2123664316852,99.1,1,967,23.4,64
1,1,2.98407820861723,51.8,0,1189,0.3,31
1,1,2.39494828146065,36,0,1296,17.1,46
0,1,2.58374167295574,195.5,0,1365,26,25
1,1,2.50690009390841,60,0,1134,43.8,63
0,1,2.36808486250531,194,0,1037,65.7,18
1,0,3.6271588359563,64.1,0,1094,61.8,48
0,0,2.34776881034437,57.3,1,1217,22,78
1,1,2.53668582447819,47,1,1105,17,73
1,1,3.60530373756602,122.5,0,1156,59.9,31
0,1,3.30872795524716,39,0,1086,14.8,73
1,1,2.08415728580207,64.3,1,1259,27,98
1,1,3.89380556408362,119.4,0,1343,0,48
1,1,2.94310974979823,145.7,1,1118,5.9,59
1,1,3.09026677711311,98.8,1,1398,25.3,49
0,0,2.52490143649838,37.4,0,964,61.6,43
1,0,1.82388494014188,88.8,0,1200,53.6,32
1,1,2.6150208730432,112.8,0,1341,53,31
0,0,2.52646039977512,146.9,0,1281,15.4,30
1,1,3.0552597538387,107.1,1,1191,58.9,54
1,1,2.6740262741268,101.7,1,1207,81.5,63
0,1,3.22021675643139,83.1,0,1224,58,55
0,1,2.68734023522767,74.8,0,885,60.1,50
1,1,3.14494148636153,120.9,0,1114,17.8,38
1,0,2.19776046446411,44.9,1,836,43.5,86
0,1,3.60484672314527,74.2,0,1078,89.5,33
1,1,2.58739497913175,122.3,1,1194,31.5,55
0,1,3.33263110435362,103,0,1084,19.4,41
0,1,2.8660909432848,338.7,0,1167,13.5,0
1,1,2.86229892359919,98.9,0,1168,51.5,25
0,0,3.28983751626417,92.5,0,983,45.3,71
1,1,3.7288049847937,71.9,1,916,8,77
1,1,2.95568105945174,67.7,0,1128,35.2,48
0,0,2.95155143803959,73.1,1,1256,21,59
0,1,3.16700093945211,45.7,1,921,0,56
