training,earnings,age,education,prior_earnings,employment_history,urban,ps,tau_true
1,106.215200612269,35,13,69.2,12,1,0.667057563613099,5.09961365145159
1,90.6528967751683,46,11,14.7,33,0,0.969106470415527,5.07257145488703
1,66.5680045718518,41,8,8.8,25,1,0.517950007082663,5.85530985288139
0,66.929796966742,30,13,26.3,7,0,0.0878991884793915,5.4941868505573
1,110.880893375576,41,18,240.4,30,1,0.98,4.73530985288139
1,60.7289807915007,37,11,16.6,20,1,0.229162428730306,6.0392603691244
0,96.5385100847984,43,15,20.4,25,0,0.42605841249336,5.20133051564472
0,103.721162409128,34,12,27.3,18,0,0.579878087606888,5.5304285021965
1,96.8004304121937,28,12,38.8,15,1,0.485633102196282,5.35625018525816
1,151.710439077341,40,13,95.5,28,1,0.98,4.62567934733469
1,105.444305294406,55,11,49.2,34,0,0.969999085087416,3.907289434852
0,96.1817586058093,39,16,49.2,22,1,0.448345665438873,4.96734143206928
0,102.587199561421,41,14,40.3,32,0,0.95385517315294,4.68730985288139
0,67.1572543084221,29,12,33.5,8,0,0.075938051793247,5.13464487834106
1,79.8804542389995,39,12,40.1,23,0,0.419672687408307,4.95134143206928
0,64.9329380216722,32,10,18.8,19,0,0.216631151550757,6.22226647752179
0,76.0431529669284,39,12,24.5,16,0,0.302329678621071,5.46334143206928
1,87.8066889727775,26,15,182.1,7,1,0.766507014006941,5.18872171998271
1,125.65813099548,51,13,41.2,41,0,0.98,3.22814134546302
1,112.741731645938,45,12,41.8,30,1,0.957396353854245,4.25075328034878
0,36.0903484676924,29,9,6.3,12,0,0.0211513494447333,6.23064487834106
0,91.2185916678017,25,12,44.3,9,1,0.318035025863125,5.30227443832449
1,115.759488990083,52,17,88.5,32,0,0.930934231152372,3.72855178987957
1,88.9660328810966,29,11,19.5,14,1,0.17902074175848,6.27864487834106
1,-124.343229567589,41,17,473.2,20,0,0.98,4.77530985288139
1,114.733045421176,43,15,55.7,31,1,0.966065383685768,4.60933051564472
0,55.5241394674002,38,13,5,17,1,0.0249685475173082,5.45299568988439
0,54.8555217812417,34,12,21.7,17,0,0.0595179340090039,5.5264285021965
0,71.9287223302574,18,10,29.5,1,1,0.439078205735482,6.37322198857073
0,104.524195957141,19,17,67.9,0,0,0.664086550416592,5.29961735197886
1,110.826730068346,42,16,216.5,23,0,0.98,4.68346628439086
0,73.290474046681,39,12,16.4,21,1,0.418804056996223,5.38334143206928
1,126.066243631076,40,16,124.4,26,0,0.938563796761353,4.86567934733469
1,72.7275262483374,27,9,31.2,5,1,0.117410478913511,5.69448110212308
0,93.4081856956305,41,14,20.7,25,1,0.617514352778946,5.25530985288139
0,48.8001371964442,25,11,12.9,8,0,0.02,6.26227443832449
1,80.5476487989033,43,10,23.8,26,0,0.672397542948237,5.76933051564472
0,98.3047280679154,44,12,71.2,26,1,0.937907288692837,4.74004962660221
1,109.195293709061,33,13,36.9,18,1,0.509488993704582,5.1672914734903
1,145.385593344974,50,13,38.5,32,1,0.98,3.87457945846835
1,110.744414930331,37,12,90.1,17,0,0.673950614001161,4.8632603691244
0,87.6057113331326,43,11,24.2,25,1,0.816102835480995,5.80133051564472
1,117.453017010633,30,13,105,15,1,0.807042725308421,5.0541868505573
0,86.2620358467471,47,12,19.2,28,1,0.759273723183666,4.65265216851173
0,113.805946412567,29,16,104.3,11,0,0.556743643197379,5.20664487834106
0,82.4456925266652,39,14,26.2,18,1,0.289266933602626,5.43134143206928
0,82.913258934992,26,12,45.4,6,1,0.34611500725653,5.15272171998271
1,140.191226860026,37,14,120.9,20,1,0.9688787792824,4.8392603691244
0,81.9247502454493,18,11,31.3,0,0,0.382971994420802,5.90522198857073
1,80.4305621738657,37,10,16.1,23,1,0.606990041974736,6.0152603691244
0,70.9910009177331,30,12,27.3,13,1,0.134927260233397,5.6141868505573
1,100.410298294407,39,11,31.1,17,1,0.623217056729655,5.64734143206928
1,113.081684758702,38,15,77.5,20,0,0.64123740113044,5.01699568988439
1,127.880923692746,52,13,57.1,38,0,0.98,3.32055178987957
1,59.0710038424172,42,8,18.9,22,0,0.252567890909877,5.91146628439086
1,91.4583303145764,27,14,104.5,6,0,0.341126809605793,5.12648110212308
0,95.8956622283565,38,13,51.1,22,0,0.593198314935623,4.99299568988439
0,87.5591266351854,32,15,55.9,12,1,0.169799079550007,5.13826647752179
1,124.641239959568,41,13,107.9,21,1,0.943760709848501,4.75130985288139
0,89.4637962885119,33,15,52.2,6,1,0.303388340531789,5.0712914734903
1,119.123845545765,22,17,150.6,2,0,0.879770224129673,5.37491158717142
0,70.9886765423276,32,12,34.1,12,1,0.17374490347555,5.13826647752179
0,50.0426186786355,41,10,9.2,22,0,0.194558357408017,5.92730985288139
1,132.076474856286,23,16,70.2,10,1,0.85466161907448,5.44020396668599
0,87.9570577014953,26,12,59.9,2,1,0.457692964759154,5.30872171998271
1,96.1465160038844,47,16,199.9,30,1,0.98,4.15665216851173
0,99.886424880802,35,15,44.9,13,1,0.434634086623492,5.09961365145159
1,120.56901944894,46,15,226.1,27,0,0.98,4.13657145488703
0,117.61347922468,44,14,154.8,26,1,0.98,4.74004962660221
0,51.1338845160718,30,10,14.2,11,1,0.0782895603020203,6.1741868505573
0,74.238147789466,31,14,42.5,16,0,0.0771734194507027,5.22729290310849
0,52.7535668053,21,11,15.4,5,1,0.115475851157151,6.2616269362685
0,70.8449177243894,36,10,6.8,22,1,0.440968776349375,6.05865978780913
1,130.41274396096,37,14,81.3,19,1,0.922449601403286,5.0472603691244
1,113.045129492571,34,13,122,18,0,0.82069955628774,4.9304285021965
0,52.5390723975063,24,12,33.1,2,1,0.24817426362398,5.33837417762586
0,87.6786285510436,42,13,43.2,23,1,0.678668797451451,4.88346628439086
1,93.543897076365,39,13,27.1,20,0,0.307668988623522,5.39934143206928
1,111.721355492902,20,13,58.3,0,1,0.889506608787336,5.09147975370484
1,121.646813659759,42,13,77.4,25,1,0.967493832434926,4.82746628439086
0,47.8793061494743,38,10,8.4,15,1,0.0669391587727114,6.07699568988439
0,105.255989286268,41,13,59.2,23,0,0.800581570502665,4.90330985288139
0,53.6651027082514,18,9,16.1,1,1,0.183895693747007,6.37322198857073
0,81.5144046472386,19,14,39.3,3,1,0.278237740972071,5.49161735197886
0,41.112859972695,18,11,10.6,2,1,0.114008970345558,6.44122198857073
0,97.6364118097379,27,18,44.7,15,1,0.05984969402828,5.41448110212308
0,74.9739392980905,33,13,60.6,14,0,0.213756719881312,5.1352914734903
1,102.962747846563,33,12,117.5,14,1,0.7331769644293,4.9352914734903
0,81.5718406745985,29,14,48.5,15,0,0.169638563798717,5.30264487834106
1,155.256909221097,46,18,111.2,24,1,0.947680881241627,4.46857145488703
0,59.2390992996317,25,13,21.2,5,1,0.0248772844034795,5.54227443832449
1,105.818848247526,34,13,70.3,13,1,0.735506777974555,5.1104285021965
0,37.652327125561,30,8,11.6,11,0,0.0214784028002381,6.1741868505573
1,108.025459320456,39,13,91.8,18,0,0.700148847522191,5.03134143206928
0,72.780828515945,18,12,28.4,0,0,0.306411579125317,5.70522198857073
0,55.3507750239156,32,9,15,10,1,0.082228388993193,6.11426647752179
0,89.9209989965276,35,15,64.6,14,1,0.408695160661158,5.09961365145159
1,66.1141641883587,39,10,10.4,26,0,0.546199758018882,5.90334143206928
1,91.7210470155347,43,13,24.3,26,1,0.78043242136941,5.16933051564472
0,61.7712668730605,37,11,10,20,1,0.193171418001638,6.0392603691244
1,116.675531629117,31,14,54.6,15,1,0.742123908890671,5.21129290310849
1,92.2133131931095,49,12,35,28,1,0.735128068549843,4.16438691346617
0,85.5225949312918,22,13,26,4,1,0.455149425328289,5.87891158717142
1,134.396353244085,41,16,67.5,20,1,0.85724538668609,4.97530985288139
1,85.9159173197892,55,10,33.9,39,0,0.98,3.507289434852
1,134.194394121018,38,17,91.3,24,1,0.93125641444528,4.96899568988439
1,52.819110537753,42,16,314.1,23,1,0.98,4.68346628439086
1,83.3977604544892,33,10,29.7,21,0,0.370651245640712,6.1912914734903
1,108.705849922143,36,17,217.7,20,0,0.958502683520636,5.06665978780913
1,98.9143918516898,33,14,67.5,15,1,0.478892359800496,5.1432914734903
1,60.612305481016,39,8,8,23,1,0.420533897133037,5.95134143206928
0,110.79363242478,48,10,24.1,27,1,0.894661034556839,5.26217883764127
1,40.1440415245108,40,17,295.3,18,1,0.977023332930464,5.02567934733469
1,99.7095811517536,38,12,71.9,22,0,0.694358369358372,4.99299568988439
0,64.0256273533387,28,10,17.5,6,0,0.0457860952232966,6.10425018525816
1,79.6274428989423,31,12,20.8,17,1,0.109857382209699,5.64329290310849
1,56.8582804227941,18,9,10.3,0,1,0.129357516702334,6.30522198857073
1,140.455309573237,31,16,102.9,14,0,0.827063925080386,5.19529290310849
0,98.7820654208154,24,14,89.6,6,1,0.693451917966351,5.21437417762586
0,66.6912330969736,35,13,11.6,15,1,0.0538287576947476,5.49961365145159
1,116.892945560613,55,12,46.1,40,1,0.98,2.827289434852
1,7.52020904845961,37,15,331.5,19,1,0.98,4.8472603691244
0,100.414152736236,23,13,54.2,9,0,0.32802964358459,5.39220396668599
0,66.6312980842821,37,14,26.9,17,0,0.0544306197109016,5.4632603691244
1,101.029555127324,43,12,41.6,24,0,0.764004404598729,4.83333051564472
0,81.02910423262,37,12,32.2,14,1,0.208886443689603,5.0872603691244
1,113.357602065726,42,11,46.4,19,1,0.718223715404236,5.59546628439086
0,93.1340388995659,28,12,39.8,7,1,0.323139250228869,5.13225018525816
1,106.085305680036,37,17,221.7,19,1,0.972425121163977,5.0472603691244
1,98.2134385765199,44,12,57.9,25,1,0.827523857577369,4.77604962660221
0,90.4608182721279,33,13,31.8,15,0,0.155491798830041,5.1432914734903
1,77.7089895963259,35,18,241.5,21,1,0.894928209592017,5.09961365145159
1,114.04907147613,42,14,70.7,27,1,0.958397174806399,4.77146628439086
0,80.6115824032553,23,17,148.3,1,1,0.755328830681672,5.30820396668599
1,117.383219946474,50,15,61.1,36,0,0.98,3.63457945846835
1,90.8912051991719,37,16,166.3,20,0,0.730059623558108,5.0392603691244
0,62.0386840037686,31,11,19.4,12,1,0.069530682834194,6.16329290310849
1,119.2654514196,45,13,25.3,30,1,0.97949674938691,4.65075328034878
0,125.776122861408,28,17,36.6,16,1,0.472513101150693,5.38425018525816
1,117.934466025099,46,12,52.6,26,0,0.895830160858313,4.38057145488703
0,81.3300831703779,29,14,112.8,10,0,0.337102081840061,5.18264487834106
0,90.1209011969244,28,15,59.5,7,1,0.212133800692041,5.13225018525816
0,122.695924732653,27,14,77.6,11,1,0.793546690155651,5.28648110212308
1,114.221216244638,33,12,42.5,17,0,0.496454069769764,5.1592914734903
0,71.6082242100683,43,11,16.5,29,0,0.843590357677373,5.67333051564472
0,111.282171116491,32,14,63,13,0,0.364434054273182,5.15026647752179
1,106.450483236945,45,13,102.3,31,0,0.98,4.21075328034878
0,62.0364765670591,32,12,16,17,1,0.0953955191918662,5.59826647752179
0,74.6160489436888,40,11,34.6,20,0,0.222259770596822,5.58567934733469
1,121.681267709339,57,14,80.9,38,1,0.98,2.7348603799531
0,69.4597371167443,21,11,24.2,5,1,0.278144397158684,6.2616269362685
0,82.3705903020021,40,9,35.3,24,1,0.676330287709296,5.50567934733469
1,79.2882168481204,44,11,15.5,24,1,0.412582842325572,5.81204962660221
0,90.3096741543739,23,14,51.5,3,1,0.392352378400212,5.40420396668599
0,57.6176386807662,20,13,10.6,0,0,0.0890023781940263,5.69147975370484
1,85.9241221428447,53,10,9.8,36,0,0.974913264180715,4.3593949599551
1,142.694489090699,38,18,130.8,20,1,0.935064018803026,5.01699568988439
0,80.4742769823303,41,8,11.6,23,1,0.541775059784582,5.90330985288139
1,-182.451265912673,46,15,502.1,30,1,0.98,4.00457145488703
0,83.5557788177756,39,12,11.1,21,1,0.385842870598037,5.38334143206928
0,92.6528089493499,39,15,65.4,17,1,0.356056665758309,5.04734143206928
0,75.1809077122172,32,12,20.9,16,1,0.198007898242686,5.58626647752179
0,89.1290568559782,43,16,23.5,28,0,0.361927593515882,5.10533051564472
1,97.5718313864308,48,15,39.6,29,1,0.591135250161169,4.15817883764127
0,75.5979473794225,36,13,22.9,12,1,0.213938320089083,5.49865978780913
1,109.9802914405,43,12,57.7,26,1,0.966207064511692,4.76933051564472
1,99.301885039382,36,11,56.3,19,1,0.681319310440059,5.67065978780913
0,64.3914531952137,44,12,12.2,24,1,0.306336568145098,5.21204962660221
0,63.6212894598956,35,10,28.2,12,0,0.0616990886774481,6.09961365145159
1,99.2625215738045,51,12,42.3,31,1,0.950822840602654,3.86814134546302
1,110.471581295977,26,13,111.4,9,0,0.54611099391819,5.06072171998271
1,99.4694182704379,30,14,95,12,1,0.522568440000918,5.1941868505573
0,82.6334232413198,31,14,17.9,12,0,0.154284027506641,5.56329290310849
0,64.4595387072705,30,11,21.3,18,0,0.10673806628749,6.3141868505573
1,105.83999515228,22,15,59.6,2,1,0.809653673726189,5.37491158717142
1,105.686328137117,37,16,54.6,19,1,0.390342140508588,5.0472603691244
1,114.415550493322,35,13,71.2,20,0,0.742219202878961,5.09961365145159
0,108.187664235036,49,17,63.3,29,0,0.664017794577914,4.10838691346617
0,90.6875124193515,27,11,34.9,11,1,0.285373721691715,5.88648110212308
0,124.105275925827,18,19,67.3,2,0,0.753487287049845,5.44122198857073
0,100.89297586734,37,16,59.1,18,1,0.184580713655284,5.0552603691244
0,82.4633867761102,32,15,36,15,0,0.101449151863924,5.17426647752179
0,97.377743579085,26,15,46.9,10,1,0.226996838840568,5.29672171998271
1,106.928834069632,52,14,30.9,33,1,0.853080308194331,3.66055178987957
1,77.1909066824598,36,11,22,17,1,0.24000017595711,6.07865978780913
1,136.843192899204,53,19,189.9,34,1,0.98,3.5033949599551
1,98.8831951860617,32,10,27.4,18,0,0.338031481172757,6.01026647752179
1,149.058003696783,52,15,74.6,37,1,0.98,3.38855178987957
1,130.052162345672,18,17,176.4,0,1,0.98,5.10522198857073
1,125.286766337268,49,16,62.7,27,1,0.806022432103428,4.22038691346617
0,81.7624285474636,38,13,22.9,20,0,0.441684332642102,5.41699568988439
1,60.2041199904252,18,10,15.1,7,0,0.0387566798196777,6.48122198857073
1,123.066888547678,40,12,71.7,19,0,0.857209734827872,4.80567934733469
1,97.7742464298168,40,17,294.5,17,0,0.98,4.84567934733469
0,77.7211563982094,26,11,18.8,12,0,0.127906436689821,6.36872171998271
1,111.600402101958,44,13,67.2,24,0,0.862218493192063,4.81204962660221
1,140.279266375407,42,14,73.6,20,1,0.924191769362265,4.96746628439086
1,144.888714041264,54,15,69.1,38,1,0.98,3.10436844867423
1,127.289116396772,49,16,152.2,26,1,0.960339707436847,4.27638691346617
1,94.0777642303833,32,12,37.5,12,0,0.245139650136566,5.13826647752179
1,71.4137375227122,38,10,19,20,1,0.381083408740462,6.01699568988439
1,103.33033945625,55,13,17.9,34,1,0.877917041582685,3.707289434852
1,135.105046085505,31,16,61.4,15,1,0.757931697581111,5.21129290310849
0,62.7424921313417,32,11,25.7,12,1,0.101780404245888,6.13826647752179
1,138.341113665642,38,17,135.1,18,1,0.970294481866591,5.04099568988439
0,110.40491033227,46,13,46,25,1,0.734096982170054,4.42457145488703
1,82.7174283349509,35,12,28.4,17,1,0.248778179975166,5.49961365145159
0,67.4136399367814,30,10,23.3,13,1,0.135133880454615,6.2141868505573
0,80.5325859207668,29,14,65.4,12,0,0.109449995749524,5.23064487834106
0,46.0184574053997,32,14,13.8,13,0,0.02,5.55026647752179
1,66.9032551840516,23,10,27.9,3,1,0.201816932201211,6.40420396668599
1,102.604592753297,50,9,12.7,35,1,0.98,4.69457945846835
1,123.077323838206,49,12,34.8,33,0,0.98,3.88438691346617
0,56.8872409271385,35,9,9.6,19,0,0.112373306129206,6.09961365145159
0,70.2646905088785,32,12,42.3,8,0,0.0944665057219096,5.09026647752179
1,93.1532049111101,36,13,41.7,18,0,0.349276994486675,5.07465978780913
0,91.1095918620677,30,12,24.3,10,1,0.254055676113398,5.5541868505573
0,81.8053323634828,33,12,17.8,12,1,0.143376234663614,5.5192914734903
0,46.9541947407147,30,12,7.7,12,0,0.02,5.5941868505573
0,86.1911024371585,45,12,29.1,22,1,0.572268235664669,4.97075328034878
1,115.121940181603,41,12,161.4,23,1,0.977458971862973,4.70330985288139
0,46.7554226167725,27,10,12.8,8,1,0.0349654627184919,6.19048110212308
1,99.0149283485591,43,13,64.6,24,0,0.847174634774373,4.83333051564472
1,89.6892516892316,41,15,156.3,21,0,0.715490111154701,4.95130985288139
1,76.2389038306605,40,14,40.8,20,1,0.404530869343841,4.98567934733469
1,121.872791048544,34,16,44.5,18,1,0.721476234734258,5.1304285021965
1,125.88234171396,39,18,171.1,21,0,0.921463147214309,4.98334143206928
1,107.054095921318,28,14,66.7,10,1,0.680545988739084,5.21625018525816
0,78.986275440628,18,11,32.8,2,0,0.283141688566878,6.04122198857073
1,125.285314016264,41,16,70.7,29,1,0.955258260753472,4.75930985288139
1,120.966479857277,32,16,118.8,12,1,0.755293080731168,5.13826647752179
1,121.277286174572,33,10,37.8,14,1,0.480598566080755,5.5352914734903
1,120.305334926744,46,13,58.5,30,1,0.969152117836581,4.20457145488703
0,99.8787199377111,31,14,21.8,16,0,0.235207851992844,5.62729290310849
0,52.949236004572,32,11,12,22,0,0.150654603081918,6.25826647752179
0,68.5671484407069,18,16,23.4,3,1,0.11047509747538,5.90922198857073
1,98.6014055042925,48,13,38,29,1,0.871745113931662,4.15817883764127
0,72.5858992236788,32,13,21.2,16,1,0.216684020358522,5.58626647752179
0,90.0918647035576,22,12,41.7,9,0,0.226650967321299,5.43891158717142
1,126.131732779994,44,14,69.3,26,0,0.909863982849465,4.74004962660221
0,87.895843603583,35,10,32.1,19,1,0.572965128323343,5.49961365145159
0,57.9332485443368,33,14,13.6,9,1,0.0518599913845111,5.4952914734903
1,140.127702619187,27,14,99.4,7,0,0.807393545685944,4.95848110212308
0,75.6390630303078,19,13,31.9,0,1,0.430663387361468,5.29961735197886
1,104.831662639082,41,14,62.1,24,0,0.703882204437289,4.87930985288139
0,74.5326020191742,23,13,38.5,6,0,0.196085418531262,5.24820396668599
0,78.2567706890307,38,12,29.3,18,1,0.428800485295714,5.44099568988439
0,55.9632719658981,20,14,13.1,1,0,0.0542220640577591,5.75147975370484
